"We now have 4-month-old mice that are non-diabetic that used to be diabetic," he added.	« Nous avons à présent des souris de 4 mois qui ne sont pas diabétiques alors qu'elles l'étaient auparavant », a-t-il ajouté.	« Nous avons maintenant des souris de 4 mois qui ne sont pas diabétiques et qui étaient auparavant diabétiques », a-t-il ajouté.	"We now have four-month-old mice that are not diabetic when they were before," he added.
But Prime Minister John Howard has said the act was only to safeguard the facilities of the hospital from being downgraded by the Tasmanian government, in giving an extra AUD$45 million.	Mais le Premier ministre John Howard a déclaré que cette loi visait uniquement à éviter que les installations de l'hôpital ne soient déclassées par le gouvernement de Tasmanie, en donnant 45 millions de dollars australiens supplémentaires.	Mais le premier ministre John Howard a déclaré que la loi n'était que pour protéger les installations de l'hôpital d'être déclassés par le gouvernement de Tasmanie, en donnant un supplément de 45 millions d'AUD.	But Prime Minister John Howard stated that this legislation was only intended to prevent the hospital's facilities from being downgraded by the Tasmanian government, giving an additional A$45 million.
According to the latest bulletin, sea level readings indicated a tsunami was generated. There was some definite tsunami activity recorded near Pago Pago and Niue.	D'après le dernier bulletin, les relevés du niveau de la mer indiquent qu'un tsunami s'est produit. Une activité tsunami précise a été enregistrée près de Pago Pago et de Niue.	Selon le dernier bulletin, les relevés du niveau de la mer indiquent qu'un tsunami a été provoqué. Il y a eu une certaine activité de tsunami définie enregistrée près de Pago Pago et Nioué.	According to the last bulletin, sea-level surveys indicate that a tsunami has occurred. A specific tsunami activity was recorded near Pago Pago and Niue.
No major damage or injuries have been reported in Tonga, but power was temporarily lost, which reportedly prevented Tongan authorities from receiving the tsunami warning issued by the PTWC.	Aucun dommage ou blessure grave n’a été signalé à Tonga, mais l’électricité a été temporairement coupée, ce qui aurait empêché les autorités tonganes de recevoir l’alerte au tsunami émise par le centre d’alerte des tsunamis dans le Pacifique.	Aucun dommage ou blessé majeur n'a été signalé aux Tonga, mais l'électricité a été temporairement perdue, ce qui aurait empêché les autorités tonganes de recevoir l'avertissement de tsunami émis par la PTWC.	No serious damage or injury was reported in Tonga, but electricity was temporarily cut, which would have prevented the Tongan authorities from receiving the tsunami alert issued by the Pacific Tsunami Alert Centre.
Fourteen schools in Hawaii located on or near coastlines were closed all of Wednesday despite the warnings being lifted.	Quatorze écoles d’Hawaii situées sur ou près des côtes ont été fermées toute la journée de mercredi malgré la levée des alertes.	Quatorze écoles à Hawaii situées sur ou près des côtes ont été fermées tout le mercredi malgré la levée des avertissements.	Fourteen schools in Hawaii located on or near the coast were closed all day on Wednesday despite the lifting of alerts.
U.S. President George W. Bush welcomed the announcement.	Le président américain George W. Bush a accueilli cette annonce avec satisfaction.	Le président américain George W. Bush s'est félicité de cette annonce.	U.S. President George W. Bush welcomed this announcement.
Bush spokesman Gordon Johndroe called North Korea's pledge "a major step towards the goal of achieving the verifiable denuclearization of the Korean peninsula."	Le porte-parole de Bush, Gordon Johndroe, a qualifié la promesse de la Corée du Nord « d'étape majeure vers l'objectif de la dénucléarisation vérifiable de la péninsule coréenne ».	Gordon Johndroe, porte-parole de Bush, a qualifié l'engagement de la Corée du Nord de « grand pas vers l'objectif de la dénucléarisation vérifiable de la péninsule coréenne ».	Bush's spokesman, Gordon Johndroe, described North Korea's promise as "a major step towards the objective of verifiable denuclearization of the Korean peninsula."
The tenth named storm of the Atlantic Hurricane season, Subtropical Storm Jerry, formed in the Atlantic Ocean today.	La tempête subtropicale Jerry, 10ème tempête de la saison des ouragans à porter un nom, est apparue ce jour dans l'océan Atlantique.	La dixième tempête de la saison des ouragans de l'Atlantique, la tempête subtropicale Jerry, s'est formée dans l'océan Atlantique aujourd'hui.	Subtropical storm Jerry, the 10th storm of the hurricane season to bear a name, appeared today in the Atlantic Ocean.
The National Hurricane Center (NHC) says that at this point Jerry poses no threat to land.	Le National Hurricane Center (NHC) affirme qu'à ce stade, Jerry ne représente aucune menace pour les terres.	Le National Hurricane Center (NHC) dit qu'à ce stade Jerry ne représente aucune menace pour l'atterrissage.	The National Hurricane Center (NHC) states that Jerry does not pose any threat to the land at this stage.
The U.S. Corps of Engineers estimated that 6 inches of rainfall could breach the previously damaged levees.	D’après le U.S. Corps of Engineers, une pluviométrie de 6 pouces pourrait ouvrir une brèche dans les digues précédemment endommagées.	Le U.S. Corps of Engineers a estimé que 6 pouces de pluie pourraient briser les digues précédemment endommagées.	According to the U.S. Corps of Engineers, a 6-inch rainfall could open a breach in previously damaged dykes.
The Ninth Ward, which saw flooding as high as 20 feet during Hurricane Katrina, is currently in waist-high water as the nearby levee was overtopped.	Le neuvième district, qui a connu des inondations atteignant 20 pieds de haut lors de l'ouragan Katrina, est actuellement sous les eaux jusqu'à la taille car la digue voisine a été débordée.	Le Neuvième Ward, qui a vu les inondations jusqu'à 20 pieds pendant l'ouragan Katrina, est actuellement dans l'eau haute de taille que la digue voisine a été surmontée.	The ninth district, which experienced flooding up to 20 feet high during Hurricane Katrina, is currently under water to size because the nearby dike has been overflowed.
Water is spilling over the levee in a section 100 feet wide.	L'eau se déverse sur la digue dans une section de 100 pieds de large.	L'eau se déverse sur la digue dans une section de 100 pieds de large.	The water flows onto the dike into a 100-foot-wide section.
Commons Administrator Adam Cuerden expressed his frustration over the deletions when he spoke to Wikinews last month.	Lors de son discours sur Wikinews le mois dernier, Adam Cuerden, directeur de Commons, a exprimé sa frustration quant aux suppressions qui avaient été faites.	L'administrateur des Communes Adam Cuerden a exprimé sa frustration au sujet des suppressions lorsqu'il a parlé à Wikinews le mois dernier.	In his speech on Wikinews last month, Adam Cuerden, Director of Commons, expressed frustration at the removals that had been made.
"He [Wales] basically lied to us from the start. First, by acting as if this was for legal reasons. Second, by pretending he was listening to us, right up to his art deletion."	« Il [Wales] nous a carrément menti dès le départ. Tout d'abord en prétextant des raison légales, puis en faisant semblant de nous écouter jusqu'à ce qu'il ait supprimé son œuvre. »	"Il nous a menti depuis le début. D'abord, en agissant comme si c'était pour des raisons légales. Deuxièmement, en prétendant qu'il nous écoutait, jusqu'à sa suppression d'art."	"He [Wales] totally lied to us from the beginning. First of all, by pretexting legal reasons, then pretending to listen to us until he had removed his work."
The community irritation led to current efforts to draft a policy regarding sexual content for the site which hosts millions of openly-licensed media.	Le mécontentement de la communauté a entraîné les efforts actuels visant à concevoir une politique relative au contenu à caractère sexuel du site qui héberge des millions de médias libres d’accès.	L'irritation de la communauté a conduit aux efforts actuels pour élaborer une politique concernant le contenu sexuel pour le site qui héberge des millions de médias ouvertement autorisés.	The dissatisfaction of the community has led to the current efforts to design a policy on the sexual content of the site that hosts millions of free media.
The work done was mostly theoretical, but the program was written to simulate observations made of the Sagittarius galaxy.	Le travail effectué était principalement théorique, mais le programme a été écrit pour simuler les observations faites de la galaxie du Sagittaire.	Le travail effectué était essentiellement théorique, mais le programme a été écrit pour simuler les observations faites de la galaxie Sagittaire.	The work done was mainly theoretical, but the program was written to simulate the observations made by the Sagittarius galaxy.
The effect the team was looking for would be caused by tidal forces between the galaxy's dark matter and the Milky Way's dark matter.	L’effet que l’équipe recherchait serait causé par les forces de marée entre la matière noire de la galaxie et la matière noire de la Voie lactée.	L'effet recherché par l'équipe serait causé par les forces de marée entre la matière noire de la galaxie et la matière noire de la Voie lactée.	The effect that the team was looking for would be caused by the tidal forces between the galaxy's black matter and the Milky Way's black matter.
Just like the moon exerts a pull on the earth, causing tides, so does the Milky Way exert a force on the Sagittarius galaxy.	Tout comme la lune exerce une traction sur la terre, provoquant des marées, la Voie lactée exerce une force sur la galaxie du Sagittaire.	Tout comme la lune exerce une traction sur la terre, provoquant des marées, la Voie lactée exerce une force sur la galaxie du Sagittaire.	Just as the moon exerts traction on the earth, causing tides, the Milky Way exerts a force on the Sagittarius galaxy.
The scientists were able to conclude that the dark matter affect other dark matter in the same way regular matter does.	Les scientifiques ont pu conclure que la matière noire affecte les autres matières noires de la même manière que la matière normale.	Les scientifiques ont pu conclure que la matière noire affecte d'autres matières noires de la même manière que la matière ordinaire.	Scientists have concluded that dark matter affects other black matter in the same way as normal matter.
This theory says that most dark matter around a galaxy is located around a galaxy in a kind of halo, and is made of lots of small particles.	Selon cette théorie, la majeure partie de la matière noire autour d’une galaxie se trouve dans une sorte de halo, et est constituée d’un grand nombre de petites particules.	Cette théorie dit que la plus sombre matière autour d'une galaxie est située autour d'une galaxie dans une sorte de halo, et est faite de beaucoup de petites particules.	According to this theory, most of the dark matter around a galaxy is in a kind of halo, and consists of a large number of small particles.
Television reports show white smoke coming from the plant.	Les reportages télévisés montrent de la fumée blanche provenant de l'usine.	Des reportages télévisés montrent de la fumée blanche provenant de l'usine.	Television reports show white smoke from the factory.
Local authorities are warning residents in the vicinity of the plant to stay indoors, turn off air-conditioners and not to drink tap water.	Les autorités locales avertissent les habitants des environs de rester à l’intérieur, d’éteindre les climatiseurs et de ne pas boire l’eau du robinet.	Les autorités locales avertissent les habitants du voisinage de l'usine de rester à l'intérieur, d'éteindre les climatiseurs et de ne pas boire d'eau du robinet.	Local authorities warn local residents to stay inside, turn off air conditioners and not drink tap water.
According to Japan's nuclear agency, radioactive caesium and iodine has been identified at the plant.	Selon l'agence nucléaire japonaise, du césium et de l'iode radioactifs ont été identifiés à la centrale.	Selon l'agence nucléaire japonaise, le césium et l'iode radioactifs ont été identifiés à l'usine.	According to the Japanese nuclear agency, caesium and radioactive iodine have been identified at the plant.
Authorities speculate that this indicates that containers holding uranium fuel at the site may have ruptured and are leaking.	Les autorités supposent que cela signifie que les réservoirs de combustible d'uranium sur le site comporteraient des fissures et des fuites.	Les autorités spéculent que cela indique que les conteneurs contenant du combustible d'uranium sur le site peuvent avoir rompu et fuient.	The authorities assume that this means that the uranium fuel tanks at the site would have cracks and leaks.
Dr. Tony Moll discovered the Extremely Drug Resistant Tuberculosis (XDR-TB) in the South African region KwaZulu-Natal.	Le Dr Tony Moll a découvert la tuberculose multirésistante (TB-MR) dans la région sud-africaine du KwaZulu-Natal.	Le Dr Tony Moll a découvert la tuberculose extrêmement résistante aux médicaments (TB-XDR) dans la région sud-africaine du KwaZulu-Natal.	Dr. Tony Moll discovered MDR-TB in the South African KwaZulu-Natal region.
In an interview, he said the new variant was "very highly troubling and alarming because of the very high fatality rate."	"Dans une interview, il a déclaré que la nouvelle mutation était ""très troublante et alarmante en raison du taux de mortalité très élevé""."	Dans une entrevue, il a déclaré que la nouvelle variante était « très troublante et alarmante en raison du taux de mortalité très élevé ».	"In an interview, he said the new mutation was "very disturbing and alarming because of the very high mortality rate".
Some patients might have contracted the bug in the hospital, Dr. Moll thinks, and at least two were hospital health workers.	Certains patients auraient contracté le virus à l’hôpital, selon le Dr Moll, et au moins deux d’entre eux faisaient partie du personnel de l’hôpital.	Certains patients ont peut-être contracté l'insecte à l'hôpital, pense le Dr Moll, et au moins deux étaient des travailleurs de la santé de l'hôpital.	Some patients were reported to have contracted the virus in hospital, according to Dr. Moll, and at least two of them were part of the hospital staff.
In one year's time, an infected person may infect 10 to 15 close contacts.	Sur une période d'un an, une personne infectée peut infecter 10 à 15 contacts proches.	Dans un an, une personne infectée peut infecter de 10 à 15 contacts étroits.	Over a period of one year, an infected person can infect 10 to 15 close contacts.
However, the percentage of XDR-TB in the entire group of people with tuberculosis still seems to be low; 6,000 of the total 330,000 people infected at any particular moment in South Africa.	Cependant, le pourcentage de TB-UR dans l’ensemble du groupe de personnes atteintes de tuberculose semble encore faible ; 6 000 personnes sur un total de 330 000 ont été infectées à un moment donné en Afrique du Sud.	Toutefois, le pourcentage de tuberculose XDR dans l'ensemble du groupe de personnes atteintes de tuberculose semble encore faible; 6 000 des 330 000 personnes infectées à un moment donné en Afrique du Sud.	However, the percentage of TB-UR in the overall TB group appears to be still low; 6,000 out of a total of 330,000 people were infected at some point in South Africa.
The satellites, both of which weighed in excess of 1,000 pounds, and traveling at approximately 17,500 miles per hour, collided 491 miles above the Earth.	Les satellites, qui pesaient tous les deux plus de 450 kg et se déplaçaient à environ 28000 km/h, sont entrés en collision à 790 km au-dessus de la Terre.	Les satellites, qui pesaient plus de 1 000 livres et voyageaient à environ 17 500 milles à l'heure, ont heurté 491 milles au-dessus de la Terre.	The satellites, both weighing more than 450 kg and moving at about 28000 km/h, collided at 790 km above Earth.
Scientists say the explosion caused by the collision was massive.	Les scientifiques affirment que l'explosion causée par la collision a été massive.	Les scientifiques disent que l'explosion causée par la collision a été massive.	Scientists claim that the explosion caused by the collision was massive.
They are still trying to determine just how large the crash was and how the Earth will be affected.	On essaie encore de déterminer quelle a été l'ampleur de l'accident et comment la Terre sera affectée.	Ils essaient encore de déterminer à quel point l'accident était important et comment la Terre sera touchée.	We are still trying to determine the extent of the accident and how the Earth will be affected.
The United States Strategic Command of the U.S. Department of Defense office is tracking the debris.	Le commandement stratégique du bureau du département de la défense des États-Unis suit les débris.	Le commandement stratégique des États-Unis du bureau du Département de la défense des États-Unis suit les débris.	The strategic command of the U.S. Department of Defense office tracks the debris.
The result of plotting analysis will be posted to a public website.	Le résultat de l'analyse du tracé sera publié sur un site Web public.	Le résultat de l'analyse des graphiques sera affiché sur un site Web public.	The result of the route analysis will be published on a public website.
A doctor who worked at Children's Hospital of Pittsburgh, Pennsylvania will be charged with aggravated murder after her mother was found dead in the trunk of her car Wednesday, authorities in Ohio say.	Un médecin exerçant à l'hôpital pour enfants de Pittsburgh, en Pennsylvanie, a été accusé de meurtre avec circonstances aggravantes après que sa mère ait été retrouvée morte dans le coffre de sa voiture mercredi, selon les autorités de l'Ohio.	Un médecin qui travaillait à l'hôpital pour enfants de Pittsburgh, en Pennsylvanie, sera accusé de meurtre aggravé après que sa mère a été retrouvée morte dans le coffre de sa voiture mercredi, disent les autorités de l'Ohio.	A doctor practising at the Pittsburgh Children's Hospital, Pennsylvania, was charged with murder with aggravating circumstances after his mother was found dead in the trunk of his car on Wednesday, according to Ohio authorities.
Dr. Malar Balasubramanian, 29, was found in Blue Ash, Ohio, a suburb approximately 15 miles north of Cincinnati lying on the ground beside the road in a T-shirt and underwear in an apparently heavily medicated state.	Le Dr Malar Balasubramanian, 29 ans, a été trouvé allongé sur le sol au bord de la route, à Blue Ash, dans l'Ohio, une banlieue située à environ 15 miles au nord de Cincinnati. Il était en T-shirt et en sous-vêtements, dans un état apparemment très médicamenté.	Le Dr Malar Balasubramanian, âgé de 29 ans, a été trouvé à Blue Ash, dans l'Ohio, une banlieue située à environ 15 milles au nord de Cincinnati, au sol, près de la route, dans un T-shirt et des sous-vêtements à l'état apparemment fortement médicamenté.	Dr. Malar Balasubramanian, 29, was found lying on the roadside floor at Blue Ash, Ohio, a suburb about 15 miles north of Cincinnati. He was wearing T-shirts and underwear, apparently in a very drug-treated condition.
She directed officers to her black Oldsmobile Intrigue which was 500 feet away.	Elle a dirigé les officiers vers son Oldsmobile Intrigue noire qui se trouvait à 500 pieds de là.	Elle a dirigé des officiers vers son Intrigue Black Oldsmobile qui se trouvait à 500 pieds.	She directed the officers to her Oldsmobile Black Intrigue, 500 feet away.
There, they found the body of Saroja Balasubramanian, 53, covered with blood-stained blankets.	Là, ils ont trouvé le corps de Saroja Balasubramanian, 53 ans, couvert de couvertures tachées de sang.	Là, ils ont trouvé le corps de Saroja Balasubramanian, 53, couvert de couvertures de sang.	There, they found the body of 53-year-old Saroja Balasubramanian, covered with blood-stained blankets.
Police said that the body appeared to have been there for about a day.	La police a déclaré qu’il semblerait que le corps se trouvait là depuis un jour environ.	La police a dit que le corps semblait être là depuis environ un jour.	The police said that it would appear that the body had been there for about a day.
The first cases of the disease this season were reported in late July.	Les premiers cas de cette maladie saisonnière ont été déclarés fin juillet.	Les premiers cas de la maladie cette saison ont été signalés à la fin de juillet.	The first cases of this seasonal disease were reported at the end of July.
The disease is carried by pigs, which then migrates to humans through mosquitos.	Les porcs sont porteurs de la maladie, qui est ensuite transmise à l'homme par les moustiques.	La maladie est transportée par des porcs, qui migrent ensuite vers les humains à travers des moustiques.	Pigs carry the disease, which is then transmitted to humans by mosquitoes.
The outbreak has prompted the Indian government to undertake such measures as deployment of pig catchers in seriously affected areas, distributing thousands of mosquito curtains and spraying pesticides.	L’épidémie a incité le gouvernement indien à prendre des mesures telles que le déploiement de collecteurs de porcs dans les zones gravement touchées, la distribution de milliers de moustiquaires et la pulvérisation de pesticides.	L'épidémie a incité le gouvernement indien à prendre des mesures telles que le déploiement d'attrapeurs de porcs dans les zones gravement touchées, la distribution de milliers de rideaux de moustiques et la pulvérisation de pesticides.	The epidemic has prompted the Indian government to take measures such as the deployment of pig collectors in severely affected areas, the distribution of thousands of mosquito nets and the spraying of pesticides.
Several million vials of encephalitis vaccine have also been promised by the government, which will help prepare health agencies for next year.	Plusieurs millions de flacons de vaccin contre l'encéphalite ont également été promis par le gouvernement, ce qui aidera à préparer les agences sanitaires pour l'année prochaine.	Plusieurs millions de flacons de vaccin contre l'encéphalite ont également été promis par le gouvernement, qui aidera à préparer les organismes de santé pour l'année prochaine.	Several million vials of encephalitis vaccine have also been promised by the government, which will help prepare health agencies for next year.
Plans for vaccines to be delivered to the historically most affected areas this year were delayed due to lack of funds and low prioritisation relative to other diseases.	Les plans de livraison de vaccins dans les zones historiquement les plus touchées cette année ont été retardés en raison du manque de fonds et de la faible priorité accordée à ces maladies par rapport à d’autres.	Les plans de distribution de vaccins dans les zones historiquement les plus touchées cette année ont été retardés en raison du manque de fonds et d'un faible rang de priorité par rapport aux autres maladies.	Vaccine delivery plans in the historically most affected areas this year have been delayed due to the lack of funding and low priority given to these diseases over others.
In 1956 Słania moved to Sweden, where three years later he began work for the Swedish Post Office and became their chief engraver.	En 1956, Słania s'est installé en Suède, où trois ans plus tard, il a commencé à travailler pour la poste suédoise pour en devenir le graveur en chef.	En 1956, Słania s'installe en Suède, où il commence trois ans plus tard à travailler pour la poste suédoise et devient leur graveur en chef.	In 1956, Słania moved to Sweden, where three years later, he began working for the Swedish post to become its chief engraver.
He produced over 1,000 stamps for Sweden and 28 other countries.	Il a produit plus de 1000 timbres pour la Suède et 28 autres pays.	Il a produit plus de 1 000 timbres pour la Suède et 28 autres pays.	It produced more than 1000 stamps for Sweden and 28 other countries.
His work is of such recognized quality and detail that he is one of the very few "household names" among philatelists. Some specialize in collecting his work alone.	Son travail est d'une telle qualité et d'un tel niveau de détail qu'il est l'un des rares philatélistes bien connus du « grand public ». Certains collectionneurs consacrent leur attention uniquement à ses œuvres.	Son travail est d'une qualité et d'un détail tellement reconnus qu'il est l'un des rares «noms domestiques» parmi les philatélistes. Certains se spécialisent dans la collecte de son travail seul.	His work is of such quality and level of detail that he is one of the few well-known philatelists of the "general public". Some collectors devote their attention only to his works.
His 1,000th stamp was the magnificent "Great Deeds by Swedish Kings" by David Klöcker Ehrenstrahl in 2000, which is listed in the Guinness Book of World Records.	Son millième timbre a été le magnifique « Great Deeds by Swedish Kings » de David Klöcker Ehrenstrahl en 2000, qui figure dans le Livre Guinness des records.	Son 1000ème timbre était le magnifique "Great Deeds by Swedish Kings" de David Klöcker Ehrenstrahl en 2000, qui est répertorié dans le livre Guinness des records du monde.	His thousandth stamp was the magnificent "Great Deeds by Swedish Kings" by David Klöcker Ehrenstrahl in 2000, which appears in the Guinness Book of Records.
He was also engaged in engraving banknotes for many countries, recent examples of his work including the Prime Ministerial portraits on the front of the new Canadian $5 and $100 bills.	Il a également gravé des billets de banque pour de nombreux pays. Parmi les exemples récents de son travail, on peut citer les portraits du Premier ministre au recto des nouveaux billets canadiens de 5 et 100 dollars.	Il s'occupait également de la gravure de billets pour de nombreux pays, exemples récents de son travail, y compris les portraits du Premier ministre sur le devant des nouveaux billets canadiens de 5 $ et de 100 $.	He has also engraved bank notes for many countries. Recent examples of his work include portraits of the Prime Minister on the front of the new $5 and $100 Canadian banknotes.
After the accident occurred, Gibson was transported to a hospital but died shortly afterwards.	Suite à l’accident, Gibson a été transporté à l’hôpital, mais a succombé immédiatement après.	Après l'accident, Gibson a été transporté à l'hôpital mais est mort peu de temps après.	Following the accident, Gibson was transported to the hospital, but died immediately after.
The truck driver, who is aged 64, was not injured in the crash.	Le chauffeur du camion, âgé de 64 ans, n’a pas été blessé dans l’accident.	Le conducteur de camion, âgé de 64 ans, n'a pas été blessé dans l'accident.	The 64-year-old truck driver was not injured in the accident.
The vehicle itself was taken away from the scene of the accident at approximately 1200 GMT on the same day.	Le véhicule lui-même a été enlevé du lieu de l'accident vers 12 h 00 GMT le même jour.	Le véhicule lui-même a été retiré des lieux de l'accident à environ 1200 GMT le même jour.	The vehicle itself was removed from the accident site at approximately 1200 GMT on the same day.
A person working in a garage near where the accident occurred said: "There were children waiting to cross the road and they were all screaming and crying."	Un employé d'un garage proche du lieu de l’accident a déclaré : « il y avait des enfants qui cherchaient à traverser la route, et qui criaient et pleuraient. »	Une personne travaillant dans un garage près de l'endroit où l'accident s'est produit a dit: "Il y avait des enfants qui attendaient de traverser la route et ils criaient tous et pleuraient."	An employee of a garage near the accident site said: "There were children who were trying to cross the road, and who were crying and crying."
They all ran back from where the accident had happened.	Ils sont tous revenus en courant de l’endroit où l’accident s’était produit.	Ils se sont tous enfuis de l'endroit où l'accident s'était produit.	They all came back running from the place where the accident occurred.
Other subjects on the agenda in Bali include saving the world's remaining forests, and sharing technologies to help developing nations grow in less-polluting ways.	Parmi les autres sujets à l’ordre du jour à Bali figurent la sauvegarde des dernières forêts du monde et le partage des technologies pour aider les pays en développement à poursuivre leur croissance de manière moins polluante.	Parmi les autres sujets inscrits à l'ordre du jour de Bali figurent la préservation des forêts restantes du monde et le partage des technologies pour aider les pays en développement à se développer de manière moins polluante.	Other topics on the Bali agenda include safeguarding the world's last forests and sharing technology to help developing countries continue their growth in a cleaner way.
The U.N. also hopes to finalize a fund to help countries affected by global warming to cope with the impacts.	L'ONU espère également finaliser un fonds pour aider les pays touchés par le réchauffement climatique à faire face aux impacts.	L'ONU espère également mettre la dernière main à un fonds destiné à aider les pays touchés par le réchauffement climatique à faire face à ces effets.	The United Nations also hopes to finalize a fund to help countries affected by global warming cope with impacts.
The money could go toward flood-proof houses, better water management, and crop diversification.	L’argent pourrait être reversé dans la construction de maisons résistantes aux inondations, dans une meilleure gestion de l’eau et dans la diversification des cultures.	L'argent pourrait aller vers des maisons étanches aux inondations, une meilleure gestion de l'eau et la diversification des cultures.	Money could be donated to construction of flood-resistant houses, improved water management and crop diversification.
Fluke wrote that the efforts by some to drown out women from speaking out about women’s health were unsuccessful.	Fluke a écrit que les efforts de certains pour empêcher les femmes de parler de leur santé ont échoué.	Fluke a écrit que les efforts de certains pour noyer les femmes de parler de la santé des femmes ont échoué.	Fluke wrote that some people's efforts to prevent women from talking about their health have failed.
She came to this conclusion due to the multitude of positive comments and encouragement sent to her by both female and male individuals urging that contraception medication be considered a medical necessity.	Elle est arrivée à cette conclusion grâce aux multiples commentaires positifs et encouragements qu’elle a reçus aussi bien des femmes que des hommes sur l’importance de considérer la contraception comme une nécessité.	Elle en est venue à cette conclusion en raison de la multitude de commentaires positifs et d'encouragements qui lui ont été envoyés par des hommes et des femmes demandant que les médicaments contraceptifs soient considérés comme une nécessité médicale.	She came to this conclusion thanks to the many positive comments and encouragements she received from both women and men on the importance of considering contraception as a necessity.
When the fighting ceased after the wounded were transported to the hospital, about 40 of the other remaining inmates stayed in the yard and refused to return to their cells.	Une fois la bagarre arrêtée après que les blessés ont été conduits à l'infirmerie, environ 40 des détenus restants sont restés dans la cour, refusant de retourner dans leur cellule.	Lorsque les combats ont cessé après le transport des blessés à l'hôpital, environ 40 des autres détenus sont restés dans la cour et ont refusé de retourner dans leurs cellules.	After the fight was stopped after the wounded were taken to the infirmary, about 40 of the remaining detainees remained in the court, refusing to return to their cell.
Negotiators tried to rectify the situation, but the prisoners' demands are not clear.	Les négociateurs ont essayé de rectifier la situation, mais les demandes des prisonniers ne sont pas claires.	Les négociateurs ont essayé de remédier à la situation, mais les demandes des prisonniers ne sont pas claires.	The negotiators have tried to rectify the situation, but the demands of the prisoners are unclear.
Between 10:00-11:00 pm MDT, a fire was started by the inmates in the yard.	Entre 22 h 00 et 23 h 00 MDT, les détenus ont allumé un feu dans la cour.	Entre 22h00 et 23h00, un incendie a été déclenché par les détenus dans la cour.	Between 10:00 p.m. and 11:00 p.m. MDT, the detainees lit a fire in the courtyard.
Soon, officers equipped with riot gear entered the yard and cornered the inmates with tear gas.	Bientôt, des officiers équipés de matériel antiémeute pénétrèrent dans la cour et coincèrent les détenus avec des gaz lacrymogènes.	Bientôt, des agents équipés d'engins anti-émeutes sont entrés dans la cour et ont coincé les détenus avec des gaz lacrymogènes.	Soon, officers equipped with riot control equipment entered the courtyard and caught the detainees with tear gas.
Fire rescue crews eventually doused the fire by 11:35 pm.	L’équipe des sapeurs pompiers a finalement éteint le feu à 23 h 35.	Les équipes de secours ont fini par faire feu à 23 h 35.	The fire crew finally turned off the fire at 11.35 p.m.
After the dam was built in 1963, the seasonal floods that would spread sediment throughout the river were halted.	Après la construction du barrage en 1963, les inondations saisonnières qui devaient répandre des sédiments dans le fleuve ont été stoppées.	Après la construction du barrage en 1963, les inondations saisonnières qui allaient répandre des sédiments dans toute la rivière ont été interrompues.	Following the construction of the dam in 1963, seasonal flooding that was to spread sediments into the river was stopped.
This sediment was necessary for creating sandbars and beaches, which served as wildlife habitats.	Ce sédiment était nécessaire à la création de bancs de sable et de plages, qui servaient d’habitats à la faune.	Ces sédiments étaient nécessaires pour créer des bancs de sable et des plages, qui servaient d'habitats fauniques.	This sediment was necessary for the creation of sand banks and beaches, which served as habitat for wildlife.
As a result, two fish species have become extinct, and two others have become endangered, including the humpback chub.	En conséquence, deux espèces de poissons ont disparu et deux autres sont en voie de disparition, dont le chevesne à bosse.	Par conséquent, deux espèces de poissons ont disparu, et deux autres sont devenues en voie de disparition, y compris le museau à bosse.	As a result, two species of fish have been extirpated and two species are endangered, including humpback chevesne.
Although the water level will only rise a few feet after the flood, officials are hoping it will be enough to restore eroded sandbars downstream.	Bien que le niveau de l’eau ne grimpera que de quelques mètres après l’inondation, les autorités espèrent que cela suffira à restaurer les bancs de sable érodés en aval.	Bien que le niveau de l'eau n'augmente que quelques pieds après l'inondation, les responsables espèrent qu'il suffira de restaurer les barres de sable érodées en aval.	Although the water level will only rise a few meters after the flood, the authorities hope that this will be enough to restore the eroded sandbanks downstream.
No tsunami warning has been issued, and according to the Jakarta geophysics agency, no tsunami warning will be issued because the quake did not meet the magnitude 6.5 requirement.	Aucune alerte au tsunami n’a été émise et, selon l’agence de géophysique de Jakarta, aucune alerte au tsunami ne sera émise parce que le séisme n’a pas atteint la magnitude 6,5 requise.	Aucun avertissement de tsunami n'a été émis et, selon l'agence de géophysique de Jakarta, aucun avertissement de tsunami ne sera émis parce que le séisme n'a pas satisfait à l'exigence de magnitude 6,5.	No tsunami warnings were issued and, according to the Jakarta Geophysics Agency, no tsunami warnings will be issued because the earthquake did not reach the required magnitude 6.5.
Despite there being no tsunami threat, residents started to panic and began to leave their businesses and homes.	Malgré l’absence de risque de tsunami, les résidents se sont mis à paniquer et ont quitté leurs maisons et commerces.	Bien qu'il n'y ait pas de menace de tsunami, les résidents ont commencé à paniquer et ont commencé à quitter leur entreprise et leur maison.	Despite the absence of a tsunami risk, residents panicked and left their homes and shops.
Although Winfrey was tearful in her farewell, she made it clear to her fans she will be back.	Malgré les larmes versées lors de ses adieux, Oprah Winfrey a clairement dit à ses fans qu'elle serait de retour.	Bien que Winfrey ait pleuré dans ses adieux, elle a dit clairement à ses fans qu'elle sera de retour.	Despite the tears shed during her farewells, Oprah Winfrey made it clear to her fans that she would be back.
