"We now have 4-month-old mice that are non-diabetic that used to be diabetic," he added.	„Wir haben jetzt 4 Monate alte Mäuse, die Diabetes hatten und jetzt keinen mehr haben“, fügte er hinzu.	"Wir haben jetzt vier Monate alte Mäuse, die nicht-diabetisch sind, die früher Diabetiker waren", fügte er hinzu.	"We now have 4 months old mice who had diabetes and now have no more," he added.
Other topics covered reportedly include the future state of Jerusalem which is sacred to both nations and the Jordan Valley issue.	Andere Themen, die angeblich abgedeckt sind, umfassen die Zukunft von Jerusalem, das beiden Nationen heilig ist, und das Problem des Jordantals.	Weitere Themen, die angeblich behandelt werden, sind der künftige Staat Jerusalem, der sowohl den Nationen als auch der Jordantalfrage heilig ist.	Other topics that are supposedly covered include the future of Jerusalem, which is sacred to both nations, and the problem of the Jordan Valley.
Israel demands an ongoing military presence in the valley for ten years once an agreement is signed while the PA agrees to leave such presence only for five years.	Israel verlangt  eine Militärpräsenz im Jordantal von zehn Jahren ab der Unterzeichnung der Vereinbarung, die Palästinenserbehörde hingegen will eine solche Präsenz nur für fünf Jahre akzeptieren.	Israel verlangt zehn Jahre lang eine andauernde militärische Präsenz im Tal, sobald ein Abkommen unterzeichnet wurde, während die Palästinensische Autonomiebehörde sich bereit erklärt, eine solche Präsenz nur für fünf Jahre zu verlassen.	Israel demands a military presence in the Jordan Valley of ten years from the signing of the agreement, while the Palestinian Authority wants to accept such a presence only for five years.
Shooters in the supplementary pest control trial were to be closely supervised by rangers, as the trial was monitored and its effectiveness evaluated.	Die Schützen des begleitenden Versuchs zur Eindämmung der Plage sollten eng von Rangern beaufsichtigt werden, da der Versuch überwacht und seine Wirksamkeit beurteilt wurde.	Shooter in der ergänzenden Schädlingsbekämpfungsstudie sollten von Rangern genau überwacht werden, da die Studie überwacht und ihre Wirksamkeit bewertet wurde.	The shooters of the accompanying trial to contain the plague should be closely supervised by rangers, as the trial was monitored and its effectiveness assessed.
In a partnership of NPWS and the Sporting Shooters Association of Australia (NSW) Inc, qualified volunteers were recruited, under the Sporting Shooters Association's hunting program.	Im Rahmen einer Partnerschaft zwischen NPWS und der Sporting Shooters Association of Australia (NSW) Inc. wurden im Rahmen des Jagdprogramms der Sporting Shooters Association qualifizierte Freiwillige rekrutiert.	In einer Partnerschaft von NPWS und der Sporting Shooters Association of Australia (NSW) Inc. wurden qualifizierte Freiwillige im Rahmen des Jagdprogramms der Sporting Shooters Association rekrutiert.	As part of a partnership between NPWS and the Sporting Shooters Association of Australia (NSW) Inc., qualified volunteers were recruited as part of the Sporting Shooters Association's hunting program.
According to Mick O'Flynn, the Acting Director Park Conservation and Heritage with the NPWS, the four shooters selected for the first shooting operation received comprehensive safety and training instruction.	Laut Mick O‘Flynn, dem geschäftsführenden Direktor von Park Conservation and Heritage im NPWS, erhielten die vier für die erste Jagdoperation ausgewählten Schützen umfassenden Sicherheits- und Trainingsunterricht.	Laut Mick O'Flynn, dem Acting Director Park Conservation and Heritage mit dem NPWS, erhielten die vier für die erste Schießerei ausgewählten Schützen umfassenden Sicherheits- und Trainingsunterricht.	According to Mick O'Flynn, Managing Director of Park Conservation and Heritage at the NPWS, the four shooters selected for the first hunting operation received comprehensive safety and training lessons.
Martelly swore in a new Provisional Electoral Council (CEP) of nine members yesterday.	Martelly hat gestern eine neue Provisorische Wahlkommission (CEP) mit neun Mitgliedern vereidigt.	Martelly hat gestern in einem neuen Provisorischen Wahlrat (CEP) von neun Mitgliedern geschworen.	Martelly sworn in a new Provisional Electoral Commission (CEP) yesterday with nine members.
It is Martelly's fifth CEP in four years.	Es ist Martellys fünftes CEP innerhalb von vier Jahren.	Es ist Martellys fünftes CEP in vier Jahren.	It's Martelly's fifth CEP in four years.
Last month a presidential commission recommended the prior CEP's resignation as part of a package of measures to move the country towards new elections.	Letzten Monat empfahl eine Präsidialkommission den Rücktritt des vorherigen CEP als Teil des Maßnahmenpakets zur Lenkung des Landes in Richtung Neuwahlen.	Im vergangenen Monat empfahl eine Präsidialkommission den Rücktritt des vorherigen CEP als Teil eines Maßnahmenpakets, um das Land in Richtung Neuwahlen zu bewegen.	Last month, a presidential commission recommended the resignation of the previous CEP as part of the package of measures to steer the country towards new elections.
The commission was Martelly's response to widespread anti-regime protests that started in October.	Die Kommission war Martellys Antwort auf die weitverbreiteten regimekritischen Proteste, die im Oktober begannen.	Die Kommission war Martellys Reaktion auf weit verbreitete Anti-Regime-Proteste, die im Oktober begannen.	The Commission was Martelly's response to the widespread dissident protests that began in October.
The sometimes-violent protests were triggered by failure to hold elections, some due since 2011.	Auslöser für die teils gewalttätigen Proteste war die nicht erfolgte Durchführung von Wahlen, von denen einige seit 2011 anstehen.	Die manchmal gewalttätigen Proteste wurden durch das Scheitern von Wahlen ausgelöst, einige seit 2011.	The result of the partly violent protests was the failure to hold elections, some of which have been due since 2011.
Around 60 cases of malfunctioning iPods overheating have been reported, causing a total of six fires and leaving four people with minor burns.	Es wurden über 60 Fälle von Überhitzung bei defekten iPods gemeldet. Insgesamt wurden dadurch sechs Brände ausgelöst und vier Personen haben leichte Verbrennungen erlitten.	Rund 60 Fälle von Fehlfunktionen iPods Überhitzung wurden berichtet, was insgesamt sechs Brände und vier Personen mit kleineren Verbrennungen verlassen.	Over 60 cases of overheating have been reported in defective iPods, causing a total of six fires and four people have suffered minor burns.
Japan's Ministry of Economy, Trade and Industry (METI) said that it had been aware of 27 accidents related to the devices.	Das japanische Ministerium für Wirtschaft, Handel und Industrie (METI) gab an, dass ihm 27 Unfälle im Zusammenhang mit den Geräten bekannt waren.	Japans Ministerium für Wirtschaft, Handel und Industrie (MTI) sagte, dass es von 27 Unfällen im Zusammenhang mit den Geräten bekannt gewesen war.	The Japanese Ministry of Economy, Trade and Industry (METI) stated that he was aware of 27 accidents related to the equipment.
Last week, METI announced that Apple had informed it of 34 additional overheating incidents, which the company called "non-serious."	"Letzte Woche gab das METI bekannt, dass es von Apple über 34 weitere Vorfälle von Überhitzung informiert worden war, die das Unternehmen als „nicht schwerwiegend"" bezeichnete."	Letzte Woche gab METI bekannt, dass Apple es von 34 zusätzlichen Überhitzungsvorfällen informiert hatte, die das Unternehmen "nicht-ernsthaft" nannte.	"Last week, METI announced that it had been informed by Apple of 34 other overheating incidents that the company described as "non-serious."
The ministry responded by calling Apple's postponement of the report "truly regrettable."	Das Ministerium reagierte, indem es die Verschiebung des Berichts durch Apple als „wirklich bedauerlich“ bezeichnete.	Das Ministerium antwortete, indem Apples Verschiebung des Berichts "wahr bedauerlich."	The ministry reacted by calling Apple's postponement of the report "really deplorable."
The eathquake struck Mariana at 07:19 a.m. local time (09:19 p.m. GMT Friday).	Das Erdbeben erschütterte Mariana um 07:19 Uhr Ortszeit (21:19 GMT am Freitag).	Das Eathquake traf Mariana um 07:19 Uhr Ortszeit (09:19 Uhr GMT Freitag).	The earthquake shook Mariana at 07:19 local time (21:19 GMT on Friday).
The Northern Marianas emergency management office said that there were no damages reported in the nation.	Das Amt für Katastrophenschutz der nördlichen Marianen sagte, dass im Land keine Schäden gemeldet wurden.	Die Northern Marianas Notfall-Management-Büro sagte, dass es keine Schäden in der Nation gemeldet.	The Department of Civil Protection of the Northern Mariana Islands said that no damage was reported in the country.
Also the Pacific Tsunami Warning Center said that there was no Tsunami indication.	Auch hatte das Pacific Tsunami Warning Center erklärt, dass es keine Hinweise auf einen Tsunami gab.	Auch das Pacific Tsunami Warning Center sagte, dass es keine Tsunami-Indikation gab.	The Pacific Tsunami Warning Center also explained that there was no evidence of a tsunami.
A former Filipino policeman has kept Hong Kong tourists hostage by hijacking their bus in Manila, the capital of the Philippines.	Ein ehemaliger philippinischer Polizist hat Touristen aus Hongkong als Geiseln genommen, indem er ihren Bus in Manila, der Hauptstadt der Philippinen, entführte.	Ein ehemaliger philippinischer Polizist hat Hongkonger Touristen als Geiseln gehalten, indem er ihren Bus in Manila, der Hauptstadt der Philippinen, entführte.	A former Filipino policeman has taken Hong Kong tourists hostage by abducting their bus in Manila, the capital of the Philippines.
Rolando Mendoza fired his M16 rifle at the tourists.	Rolando Mendoza schoss mit seinem M16-Gewehr auf die Touristen.	Rolando Mendoza feuerte sein M16-Gewehr auf die Touristen.	Rolando Mendoza shot the tourists with his M16 rifle.
Several hostages have been rescued and least six have been confirmed dead so far.	Mehrere Geiseln wurden gerettet und es gibt bisher mindestens sechs bestätigte Tote.	Mehrere Geiseln wurden gerettet und mindestens sechs wurden bisher tot bestätigt.	Several hostages have been rescued and there have been at least six confirmed deaths so far.
Six hostages, including the children and elderly, were released early, as were the Filipino photographers.	Sechs Geiseln, darunter die Kinder und Ältere, wurden, wie auch die philippinischen Fotografen, frühzeitig freigelassen.	Sechs Geiseln, darunter Kinder und ältere Menschen, wurden frühzeitig freigelassen, ebenso die philippinischen Fotografen.	Six hostages, including the children and the elderly, were released early, as were the Philippine photographers.
The photographers later took the place of an aged lady as she needed the lavatory. Mendoza was gunned down.	Die Fotografen nahmen den Platz einer älteren Dame ein, als sie zur Toilette musste. Mendoza wurde erschossen.	Die Fotografen nahmen später die Stelle einer alten Dame ein, als sie die Toilette brauchte. Mendoza wurde niedergeschossen.	The photographers took the place of an elderly lady when she had to go to the toilet. Mendoza was shot.
Liggins followed in his father’s footsteps and entered a career in medicine.	Liggins trat in die Fußstapfen seines Vaters und schlug eine medizinische Karriere ein.	Liggins folgte in den Fußstapfen seines Vaters und trat in eine Karriere in der Medizin ein.	Liggins followed his father's footsteps and began a medical career.
He trained as an obstetrician and began to work at the Auckland's National Women's Hospital in 1959.	Er machte eine Ausbildung als Entbindungsarzt und nahm 1959 seine Arbeit im National Women's Hospital in Auckland auf.	1959 begann er im Auckland's National Women's Hospital zu arbeiten.	He was educated as a maternity doctor and began his work at the National Women's Hospital in Auckland in 1959.
While he was working at the hospital Liggins began to investigate premature labor during his spare time.	Während seiner Arbeit im Krankenhaus begann Liggins in seiner Freizeit damit, vorzeitige Wehen zu untersuchen.	Während er im Krankenhaus arbeitete, begann Liggins, in seiner Freizeit vorzeitige Arbeit zu untersuchen.	During his work at the hospital, Liggins began to examine premature labor in his spare time.
His research showed that if a hormone was administered it would speed up the baby's foetal lung maturation.	Seine Forschung zeigte, dass die Anwendung eines Hormons die Lungenreifung des Fötus beschleunigte.	Seine Forschungen zeigten, dass, wenn ein Hormon verabreicht wurde, es die fötale Lungenreifung des Babys beschleunigen würde.	His research showed that the use of a hormone accelerated the lung maturation of the fetus.
Xinhua reported that government investigators recovered two 'black box' flight recorders on Wednesday.	Xinhua berichtete, dass Ermittler der Regierung am Mittwoch zwei „Black Box“-Flugschreiber  geborgen haben.	Xinhua berichtete, dass Regierungsermittler am Mittwoch zwei "Black Box"-Flugschreiber wiedergefunden haben.	Xinhua reported that government investigators recovered two "Black Box" flight recorders on Wednesday.
Fellow wrestlers also paid tribute to Luna.	Ringer-Kollegen zollten Luna ebenfalls Tribut.	Mitstreiter zollten Luna ebenfalls Tribut.	Ringer colleagues also paid tribute to Luna.
Tommy Dreamer said "Luna was the first Queen of Extreme. My first manager. Luna passed away on the night of two moons. Pretty unique just like her. Strong woman."	"Tommy Dreamer sagte: ""Luna war die erste Königin der Extreme. Meine erste Managerin. Luna starb in der Nacht der zwei Monde. Sehr einzigartig, genau wie sie. Eine starke Frau."""	Tommy Dreamer sagte: "Luna war die erste Königin von Extreme. Mein erster Manager. Luna starb in der Nacht von zwei Monden. Ziemlich einzigartig wie sie. Starke Frau."	"Tommy Dreamer said, "Luna was the first queen of the extremes. My first manager. Luna died on the night of the two moons. Very unique, just like her. A strong woman.""
Dustin "Goldust" Runnels commented that "Luna was as freaky as me...maybe even more...love her and will miss her...hopefully she's in a better place."	Dustin „Goldust“ Runnels gab folgenden Kommentar ab: „Luna war genauso verrückt wie ich ... vielleicht sogar noch verrückter ... ich liebe sie und werde sie vermissen ... hoffentlich ist sie an einem besseren Ort.“	Dustin "Goldust" Runnels kommentierte: "Luna war so verrückt wie ich... vielleicht sogar noch mehr...Liebe sie und wird sie vermissen...hoffentlich ist sie an einem besseren Ort."	Dustin "Goldust" Runnels commented: "Luna was just as crazy as I was... maybe even crazier... I love her and will miss her... hopefully she's in a better place.
Out of 1,400 people polled prior to the 2010 federal election, those who oppose Australia becoming a republic grew by 8 per cent since 2008.	Von den 1.400 Personen, die vor den Bundeswahlen 2010 befragt wurden, hat der Anteil derjenigen, die sich dagegen aussprechen, dass Australien zur Republik wird, seit 2008 um 8 Prozent zugenommen.	Von den 1.400 Befragten, die vor der Bundestagswahl 2010 befragt wurden, wuchsen seit 2008 diejenigen, die sich gegen die Republik Australien stellen, um 8 Prozent.	Of the 1,400 people surveyed before the 2010 federal elections, the proportion of those who oppose Australia becoming a republic has increased by 8 percent since 2008.
Caretaker Prime Minister Julia Gillard claimed during the campaign of the 2010 federal election that she believed Australia should become a republic at the end of Queen Elizabeth II's reign.	Die vorübergehend amtierende Premierministerin Julia Gillard erklärte während des Wahlkampfes für die Bundeswahl 2010, dass ihrer Meinung nach Australien am Ende der Herrschaft von Königin Elizabeth II eine Republik werden sollte.	Während des Wahlkampfs bei den Bundestagswahlen 2010 behauptete sie, Australien solle am Ende der Regierungszeit von Königin Elizabeth II. eine Republik werden.	During the 2010 federal election campaign, temporarily acting Prime Minister Julia Gillard declared that she believed Australia would become a republic at the end of Queen Elizabeth II's reign.
34 per cent of those in the poll share this view, wanting Queen Elizabeth II to be Australia's last monarch.	34 Prozent der Befragten teilen diese Ansicht und wollen, dass Elisabeth II. die letzte australische Monarchin ist.	34 Prozent der Befragten teilen diese Ansicht und wollen, dass Königin Elizabeth II. Australiens letzter Monarch wird.	34 percent of respondents share this view and want Elizabeth II to be the last Australian monarch.
At the extremes of the poll, 29 per cent of those surveyed believe Australia should become a republic as soon as possible, while 31 per cent believe Australia should never become a republic.	29 Prozent der Befragten gaben an, Australien solle so schnell wie möglich eine Republik werden, während 31 Prozent der Meinung sind, Australien solle niemals eine Republik werden.	Am Ende der Umfrage glauben 29 Prozent der Befragten, dass Australien so schnell wie möglich eine Republik werden sollte, während 31 Prozent glauben, Australien sollte nie eine Republik werden.	29 percent of respondents said Australia should become a republic as soon as possible, while 31 percent said Australia should never become a republic.
The Olympic gold medalist was due to swim in the 100m and 200m freestyle and in three relays at the Commonwealth Games, but due to his complaints his fitness has been in doubt.	Der Goldmedaillengewinner bei olympischen Spielen sollte bei den Commonwealth Games in den Disziplinen 100 m und 200 m Freistil sowie in drei Lagenstaffeln schwimmen, aber wegen seiner vielen Beschwerden wurde seine Fitness angezweifelt.	Der olympische Goldmedaillengewinner sollte in der 100m und 200m Freistil und in drei Staffeln bei den Commonwealth Games schwimmen, aber aufgrund seiner Beschwerden wurde seine Fitness in Zweifel gezogen.	The gold medalist at Olympic Games was supposed to swim in the Commonwealth Games in the disciplines 100 m and 200 m freestyle as well as in three tier relays, but his fitness was questioned because of his many complaints.
He has been unable to take the drugs needed to overcome his pain as they are banned from the Games.	Er war nicht dazu in der Lage, die benötigten Medikamente einzunehmen, um seinen Schmerz zu überwinden, da sie bei den Commonwealth Games verboten sind.	Er war nicht in der Lage, die Medikamente zu nehmen, die notwendig sind, um seine Schmerzen zu überwinden, da sie von den Spielen verboten sind.	He was not able to take the drugs needed to overcome his pain, as they are forbidden at the Commonwealth Games.
Curtis Cooper, a mathematician and computer science professor at the University of Central Missouri, has discovered the largest known prime number to date on January 25.	Am 25. Januar entdeckte Curtis Cooper, ein Mathematiker und Informatik-Professor an der University of Central Missouri, die größte bekannte Primzahl.	Curtis Cooper, Mathematiker und Informatikprofessor an der University of Central Missouri, hat am 25. Januar die bisher größte bekannte Primzahl entdeckt.	On January 25, Curtis Cooper, a mathematician and computer science professor at the University of Central Missouri, discovered the largest known prime number.
Several people verified the discovery using different hardware and software by the beginning of February and it was announced on Tuesday.	Zahlreiche Personen bestätigten die Entdeckung mittels unterschiedlicher Hardware und Software Anfang Februar und am Dienstag wurde sie bekanntgegeben.	Mehrere Leute verifizierten die Entdeckung mit verschiedenen Hard-und Software bis Anfang Februar und es wurde am Dienstag angekündigt.	Numerous people confirmed the discovery by means of different hardware and software at the beginning of February and on Tuesday it was announced.
Comets may possibly have been a source of water delivery to the earth along with organic matter that can form proteins and support life.	Kometen waren möglicherweise eine Quelle für die Wasserversorgung der Erde, zusammen mit organischer Materie, die Proteine bilden und Leben ermöglichen kann.	Kometen können möglicherweise eine Quelle der Wasserlieferung auf die Erde zusammen mit organischen Stoffen, die Proteine bilden und Leben unterstützen können gewesen sein.	Comets may have been a source of the earth's water supply, along with organic matter that can form proteins and make life possible.
Scientists hope to understand how planets form, especially how the Earth formed, since comets collided with the Earth long ago.	Da Kometen vor langer Zeit mit der Erde zusammenprallten, versprechen sich die Wissenschaftler Einblicke, wie Planeten, insbesondere die Erde, entstehen.	Wissenschaftler hoffen zu verstehen, wie sich Planeten bilden, besonders wie sich die Erde formte, da Kometen vor langer Zeit mit der Erde kollidierten.	As comets collide with the Earth a long time ago, the scientists promise to see how planets, especially the Earth, emerge.
Cuomo, 53, began his governorship earlier this year and signed a bill last month legalizing same-sex marriage.	Cuomo (53) trat sein Gouverneursamt früher in diesem Jahr an und unterzeichnete letzten Monat einen Gesetzentwurf zur Legalisierung der gleichgeschlechtlichen Eheschließung.	Cuomo, 53, begann Anfang dieses Jahres sein Gouvernement und unterzeichnete im letzten Monat einen Gesetzentwurf zur Legalisierung der gleichgeschlechtlichen Ehe.	Cuomo (53) joined his governor's office earlier this year and signed a bill to legalize same-sex marriage last month.
He referred to the rumors as "political chatter and silliness".	Er bezeichnete die Gerüchte als „politisches Geschwätz und Albernheit“.	Er bezeichnete die Gerüchte als "politisches Gequatsche und Sturheit".	He described the rumors as "political gossip and folly."
He is speculated to make a run for president in 2016.	Es wird spekuliert, dass er sich 2016 um das Amt des Präsidenten bewerben könnte.	Er wird spekuliert, 2016 eine Kandidatur für den Präsidenten zu machen.	It is speculated that he could apply for the office of President in 2016.
NextGen is a system the FAA claims would allow aircraft to fly shorter routes and save millions of gallons of fuel each year and cut carbon emissions.	NextGen ist ein System, von dem die FAA behauptet, dass es Flugzeugen erlauben würde, kürzere Strecken zu fliegen und jedes Jahr Millionen Gallonen an Treibstoff zu sparen und die Kohlenstoffemissionen zu reduzieren.	NextGen ist ein System, das FAA behauptet, dass Flugzeuge kürzere Strecken fliegen und jedes Jahr Millionen Liter Treibstoff sparen und die CO2-Emissionen senken würden.	NextGen is a system that FAA claims would allow aircraft to fly shorter distances and save millions of gallons of fuel and reduce carbon emissions every year.
It uses satellite-based technology as opposed to older ground-radar-based technology to allow air traffic controllers to pinpoint aircraft with greater precision and give pilots more accurate information.	Es greift auf satellitenbasierte Technologie statt der älteren Technologie auf der Basis von Bodenradar zurück, um den Fluglotsen die präzisere Lokalisierung von Flugzeugen zu ermöglichen und die Piloten mit genaueren Informationen zu versorgen.	Es nutzt satellitengestützte Technologie im Gegensatz zu älteren Bodenradar-basierte Technologie, um Fluglotsen zu ermöglichen, Flugzeuge mit größerer Präzision zu lokalisieren und Piloten genauere Informationen zu geben.	It uses satellite-based technology instead of older ground radar-based technology to enable air traffic controllers to more precisely locate aircraft and provide pilots with more accurate information.
No extra transport is being put on and overground trains will not stop at Wembley, and car parking and park-and-ride facilities are unavailable at the ground.	Es werden keine zusätzlichen Transportmittel eingerichtet und die oberirdischen Züge werden nicht in Wembley halten. Vor Ort sind keine Parkplätze oder Park-and-Ride-Anlagen verfügbar.	In Wembley werden keine zusätzlichen Transporte angefahren und die Oberbahn wird nicht anhalten, und Parkplätze und Park-and-Ride-Einrichtungen sind am Boden nicht verfügbar.	No additional means of transport will be provided and the above-ground trains will not stop in Wembley. Parking or park-and-ride facilities are not available on site.
Fears of lack of transportation raised the possibility that the game would be forced to play behind closed doors without the team's supporters.	Mit der Sorge um mangelnde Transportmöglichkeiten wuchs die Wahrscheinlichkeit, dass das Spiel ohne die Fans der Mannschaft hinter verschlossenen Türen ausgetragen werden müsse.	Die Angst vor fehlendem Transport erhöhte die Möglichkeit, dass das Spiel hinter verschlossenen Türen ohne die Unterstützer des Teams spielen musste.	With the concern for lack of transport possibilities, the probability that the game would have to be played behind closed doors without the fans of the team grew.
A study published on Thursday in the journal Science reported on formation of a new bird species on the Ecuadorean Galápagos Islands.	Eine Studie, die am Donnerstag in der Zeitschrift Science veröffentlicht wurde, berichtete von der Entstehung einer neuen Vogelspezies auf den ecuadorianischen Galápagos-Inseln.	Eine am Donnerstag in der Zeitschrift Science veröffentlichte Studie berichtete über die Entstehung einer neuen Vogelart auf den ecuadorianischen Galápagos-Inseln.	A study published in the journal Science on Thursday reported on the emergence of a new bird species in the Ecuadorian Galápagos Islands.
Researchers from Princeton University in the United States and Uppsala University in Sweden reported the new species evolved in just two generations, though this process had been believed to take much longer, due to breeding between an endemic Darwin finch, Geospiza fortes, and the immigrant cactus finch, Geospiza conirostris.	Forscher der Princeton University in den Vereinigten Staaten und der Uppsala University in Schweden berichteten, die neue Art habe sich innerhalb von nur zwei Generationen entwickelt, obwohl man zuvor angenommen hatte, dass dieser Vorgang aufgrund der Paarung zwischen einem einheimischen Darwinfink, Geospiza fortes, und dem eingewanderten Kaktusfink, Geospiza conirostris, viel länger dauerte.	Forscher der Princeton University in den Vereinigten Staaten und der Uppsala University in Schweden berichteten, dass sich die neue Art in nur zwei Generationen entwickelt hatte, obwohl dieser Prozess aufgrund der Züchtung zwischen einem endemischen Darwin Finch, Geospiza fortes und dem eingewanderten Cactus finch, Geospiza conirostris, viel länger dauern sollte.	Researchers from Princeton University in the United States and Uppsala University in Sweden reported that the new species had developed within only two generations, although it had previously been assumed that this process took much longer due to the mating between a native Darwinfink, Geospiza fortes, and the immigrated cactus fink, Geospiza conirostris.
Gold may be worked into all sorts of shapes. It can be rolled into tiny shapes.	Gold kann zu verschiedensten Formen verarbeitet werden. Es kann in winzige Formen gerollt werden.	Gold kann in alle Arten von Formen bearbeitet werden. Es kann in winzige Formen gerollt werden.	Gold can be processed into various shapes. It can be rolled into tiny shapes.
It can be pulled into thin wire, which can be twisted and plaited. It can be hammered or rolled into sheets.	Es kann zu einem dünnen Draht gezogen werden, der gedreht und geflochten werden kann. Er kann gehämmert oder zu Blättern gerollt werden.	Es kann in dünnen Draht gezogen werden, der verdreht und geflochten werden kann. Es kann gehämmert oder in Platten gerollt werden.	It can be pulled to a thin wire that can be turned and braided. It can be hammered or rolled into leaves.
It can be made very thin, and stuck onto other metal. It can be made so thin that it was sometimes used to decorate the hand-painted pictures in books called "illuminated manuscripts".	Es kann sehr dünn gefertigt und auf anderes Metall geklebt werden. Es kann derart dünn gemacht werden, dass es manchmal dazu verwenwurde, um handgemalte Bilder, genannt Bilderhandschriften, in Büchern zu dekorieren, die Bilderhandschriften genannt werden.	Es kann sehr dünn gemacht werden und auf andere Metalle geklebt werden. Es kann so dünn gemacht werden, dass es manchmal verwendet wurde, um die handbemalten Bilder in Büchern zu schmücken, die als "illuminierte Manuskripte" bezeichnet werden.	It can be made very thin and glued to other metal. It can be made so thin that it was sometimes used to decorate hand-painted pictures, called picture manuscripts, in books called picture manuscripts.
This is called a chemical's pH. You can make an indicator using red cabbage juice.	Dies nennt man den PH-Wert einer Chemikalie. Man kann mit rotem Kohlsaft einen Indikator herstellen.	Dies nennt man einen pH-Wert einer Chemikalie. Sie können einen Indikator mit Rotkohlsaft machen.	This is called the PH value of a chemical. You can produce an indicator with red cabbage juice.
The cabbage juice changes color depending on how acidic or basic (alkaline) the chemical is.	Der Kohlsaft ändert seine Farbe, je nachdem wie sauer oder basisch (alkalisch) die Chemikalie ist.	Der Kohlsaft verändert die Farbe, je nachdem, wie sauer oder basisch (alkalin) die Chemikalie ist.	The cabbage juice changes its color, depending on how acidic or basal (alkalic) the chemical is.
The pH level is indicated by the amount of Hydrogen (the H in pH) ions in the tested chemical.	Der pH-Level weist auf die Menge der Wasserstoffionen (das H in pH) in den getesteten Chemikalien hin.	Der pH-Wert wird durch die Menge an Wasserstoff (H in pH)-Ionen in der geprüften Chemikalie angezeigt.	The pH level indicates the amount of hydrogen ions (the H in pH) in the tested chemicals.
Hydrogen ions are protons that had their electrons stripped off them (since Hydrogen atoms consist of one proton and one electron).	Wasserstoffionen sind Protonen, denen ihre Elektronen entzogen wurden (denn Wasserstoffatome bestehen aus einem Proton und einem Elektron).	Wasserstoffionen sind Protonen, die ihre Elektronen abtragen ließen (da Wasserstoffatome aus einem Proton und einem Elektron bestehen).	Hydrogen ions are protons to which their electrons have been removed (because hydrogen atoms consist of a proton and an electron).
Swirl the two dry powders together and then, with clean wet hands, squeeze them into a ball.	Mischen Sie die zwei Trockenpulver zusammen und formen Sie sie dann mit sauberen, nassen Händen zu einem Ball.	Die beiden trockenen Pulver zusammenwirbeln und dann mit sauberen nassen Händen in einen Ball pressen.	Mix the two dry powders together and then form them into a ball with clean, wet hands.
The moisture on your hands will react with the outer layers, which will feel funny and form a sort of shell.	Die Feuchtigkeit auf Ihren Händen reagiert mit den äußeren Schichten, was sich komisch anfühlt und eine Art Schutzschicht bildet.	Die Feuchtigkeit an den Händen wird mit den äußeren Schichten reagieren, die sich lustig anfühlen und eine Art Muschel bilden.	The moisture on your hands reacts with the outer layers, which feels funny and forms a kind of protective layer.
The cities of Harappa and Mohenjo-daro had a flush toilet in almost every house, attached to a sophisticated sewage system.	Die Städte Harappa und Mohenjo-daro verfügten in fast jedem Haus über eine Spültoilette, die an ein ausgeklügeltes Abwassersystem angeschlossen war.	Die Städte Harappa und Mohenjo-daro hatten in fast jedem Haus eine Spültoilette, die an einem ausgeklügelten Abwassersystem befestigt war.	The cities of Harappa and Mohenjo-daro had a flush toilet in almost every house, which was connected to a sophisticated sewage system.
Remains of sewage systems have been found in the houses of the Minoan cities of Crete and Santorini in Greece.	Reste von Abwassersystemen fand man in den Häusern der minoischen Städte auf Kreta und Santorini in Griechenland.	Reste von Kläranlagen wurden in den Häusern der minoischen Städte Kreta und Santorini in Griechenland gefunden.	Remains of sewage systems were found in the houses of Minoan cities in Crete and Santorini in Greece.
There were also toilets in ancient Egypt, Persia and China. In Roman civilization, toilets were sometimes part of public bath houses where men and women were together in mixed company.	Auch im alten Ägypten, Persien und China gab es Toiletten. In der römischen Kultur waren Toiletten manchmal Teil von öffentlichen Badehäusern, die Männer und Frauen in gemischter Gesellschaft besuchten.	Es gab auch Toiletten im alten Ägypten, Persien und China. In der römischen Zivilisation waren Toiletten manchmal Teil der öffentlichen Badehäuser, wo Männer und Frauen zusammen in gemischter Gesellschaft waren.	Also in ancient Egypt, Persia and China there were toilets. In Roman culture toilets were sometimes part of public bath houses that visited men and women in mixed society.
When you call someone who is thousands of miles away, you are using a satellite.	Wenn Sie jemanden anrufen, der Tausende von Meilen entfernt ist, dann nutzen Sie einen Satelliten.	Wenn Sie jemanden anrufen, der Tausende von Meilen entfernt ist, benutzen Sie einen Satelliten.	If you call someone thousands of miles away, use a satellite.
The satellite in space gets the call and then reflects it back down, almost instantly.	Der Satellit im Weltraum empfängt den Anruf und reflektiert ihn dann fast sofort zurück nach unten.	Der Satellit im Weltraum bekommt den Anruf und reflektiert ihn dann fast sofort wieder nach unten.	The satellite in space receives the call and then reflects it back down almost immediately.
The satellite was sent into space by a rocket. Scientists use telescopes in space because the Earth’s atmosphere distorts some of our light and view.	Der Satellit wurde von einer Rakete ins Weltall befördert. Wissenschaftler verwenden Teleskope im Weltall, weil die Erdatmosphäre unser Licht und unseren Blick etwas verzerrt.	Der Satellit wurde von einer Rakete in den Weltraum geschickt. Wissenschaftler benutzen Teleskope im Weltraum, weil die Erdatmosphäre etwas von unserem Licht und unserer Sicht verzerrt.	The satellite was transported from a rocket to space. Scientists use telescopes in space because the Earth's atmosphere distorts our light and our gaze somewhat.
