"We now have 4-month-old mice that are non-diabetic that used to be diabetic," he added.	"Abbiamo topi di quattro mesi che prima erano diabetici e ora non lo sono più", ha aggiunto.	"Ora abbiamo topi di 4 mesi che non sono diabetici che un tempo erano diabetici," ha aggiunto.	"We have four-month-old mice who were diabetics and now they are no longer diabetics," he added.
Several Bishkek residents blamed protesters from the south for the lawlessness.	Vari residenti di Biškek hanno criticato i manifestanti del sud per le azioni illegali compiute.	Diversi abitanti di Bishkek hanno incolpato i manifestanti del sud per l'illegalità.	Several residents of Biškek criticized the protesters in the south for their illegal actions.
South Africa have defeated the All Blacks (New Zealand) in a rugby union Tri Nations match at the Royal Bafokeng Stadium in Rustenburg, South Africa.	Il Sudafrica ha vinto contro gli All Blacks (Nuova Zelanda) nel match del torneo di rugby Tri Nations disputato in casa al Royal Bafokeng Stadium di Rustenburg.	Il Sud Africa ha sconfitto gli All Blacks (Nuova Zelanda) in una partita di rugby Union Tri Nations al Royal Bafokeng Stadium di Rustenburg, Sud Africa.	South Africa won against the All Blacks (New Zealand) in the home rugby tournament match at the Royal Bafokeng Stadium in Rustenburg.
The final score was a one-point victory, 21 to 20, ending the All Blacks' 15 game winning streak.	Il punteggio finale ha decretato la vittoria di un punto (21 a 20), interrompendo la serie di 15 vittorie consecutive degli All Blacks.	Il punteggio finale è stato una vittoria di un punto, 21 a 20, terminando la partita di 15 strike vincente degli All Blacks.	The final score decreed the victory of one point (21-20), interrupting the series of 15 consecutive All Blacks victories.
For the Springboks, it ended a five-match losing streak.	Per gli Springboks questa è stata la conclusione di una infilata di cinque sconfitte consecutive.	Per gli Springboks, è finita una serie di cinque partite perse.	For the Springboks this was the conclusion of a slip of five consecutive defeats.
It was the final match for the All Blacks, who had already won the trophy two weeks ago.	Si trattava dell'ultima partita per gli All Blacks, che due settimane prima avevano già vinto la coppa.	Era l'ultima partita per gli All Blacks, che avevano già vinto il trofeo due settimane fa.	It was the last game for the All Blacks, which two weeks earlier had already won the cup.
The final match of the series will take place at Ellis Park in Johannesburg next week, when the Springboks play Australia.	Il match finale del torneo che vedrà gli Springboks in campo contro l'Australia si svolgerà la prossima settimana all'Ellis Park di Johannesburg.	Il match finale della serie si svolgerà a Ellis Park a Johannesburg la prossima settimana, quando gli Springboks giocano l'Australia.	The final match of the tournament that will see the Springboks in the field against Australia will take place next week at Ellis Park in Johannesburg.
A moderate earthquake shook western Montana at 10:08 p.m. on Monday.	Lunedì un terremoto di lieve entità ha colpito il Montana occidentale alle 22:08.	Un terremoto moderato ha scosso il Montana occidentale alle 22:08 di lunedì.	On Monday, a small earthquake hit Western Montana at 10:08 p.m.
No immediate reports of damage have been received by the United States Geological Survey (USGS) and its National Earthquake Information Center.	Lo United States Geological Survey (USGS) e il suo National Earthquake Information Center non hanno ricevuto alcun resoconto immediato relativo ad eventuali danni.	Non sono state ricevute segnalazioni immediate di danni da parte dell'United States Geological Survey (USGS) e del suo National Earthquake Information Center.	The United States Geological Survey (USGS) and its National Earthquake Information Center received no immediate report on any damage.
The earthquake was centered about 20 km (15 miles) north-northeast of Dillon, and about 65 km (40 miles) south of Butte.	L'epicentro del terremoto è stato localizzato a circa 20 km (15 miglia) a nord-nord est di Dillon e a circa 65 km (40 miglia) a sud di Butte.	Il terremoto è stato centrato circa 20 km (15 miglia) a nord-nord-est di Dillon, e circa 65 km (40 miglia) a sud di Butte.	The epicenter of the earthquake was located about 20 km (15 miles) north-north east of Dillon and about 65 km (40 miles) south of Butte.
The strain of bird flu lethal to humans, H5N1, has been confirmed to have infected a dead wild duck, found on Monday, in marshland near Lyon in the east of France.	È stato confermato che il ceppo di influenza aviaria H5N1, letale per l'uomo, ha contagiato un'anatra selvatica, rinvenuta lunedì, morta, nella parte orientale della Francia, in una palude nei pressi di Lione.	Il ceppo di influenza aviaria letale per gli esseri umani, H5N1, è stato confermato di aver infettato un'anatra selvatica morta, trovata il lunedì, nella palude vicino a Lione, nell'est della Francia.	It has been confirmed that the avian influenza strain H5N1, fatal to humans, has infected a wild duck, found Monday, dead, in the eastern part of France, in a swamp near Lyon.
France is the seventh country in the European Union to suffer this virus; following Austria, Germany, Slovenia, Bulgaria, Greece and Italy.	La Francia è il settimo Paese dell'Unione europea, dopo Austria, Germania, Slovenia, Bulgaria, Grecia e Italia, a essere colpito dal virus.	La Francia è il settimo paese dell'Unione europea a subire questo virus; dopo Austria, Germania, Slovenia, Bulgaria, Grecia e Italia.	France is the seventh country in the European Union, after Austria, Germany, Slovenia, Bulgaria, Greece and Italy, to be hit by the virus.
Suspected cases of H5N1 in Croatia and Denmark remain unconfirmed.	I casi sospetti di H5N1 in Croazia e Danimarca non sono ancora confermati.	I casi sospetti di H5N1 in Croazia e Danimarca rimangono non confermati.	The suspected cases of H5N1 in Croatia and Denmark are not yet confirmed.
Chambers had sued God for "widespread death, destruction and terrorization of millions upon millions of the Earth's inhabitants."	Chambers aveva fatto causa a Dio per "aver seminato morte, distruzione e terrore tra milioni e milioni di abitanti della Terra".	Chambers aveva citato in giudizio Dio per "morte diffusa, distruzione e terrorizzazione di milioni su milioni di abitanti della Terra."	Chambers had sued God for "sowing death, destruction and terror among millions and millions of earth's inhabitants."
Chambers, an agnostic, argues that his lawsuit is "frivolous" and "anybody can sue anybody."	Secondo Chambers, un agnostico, la sua causa legale è "superficiale" e "chiunque può essere citato in giudizio da chiunque".	Chambers, un agnostico, sostiene che la sua causa è "frivola" e "chiunque può fare causa a chiunque."	According to Chambers, an agnostic, his lawsuit is "superficial" and "anyone can be sued by anyone."
The story presented in the French opera, by Camille Saint-Saens, is of an artist "whose life is dictated by a love for drugs and Japan."	Il racconto presentato da Camille Saint-Saens all'Opéra francese narra di un artista "la cui vita ruota attorno all'amore per le droghe e per il Giappone".	La storia presentata nell'opera francese, da Camille Saint-Saens, è di un'artista "la cui vita è dettata da un amore per la droga e il Giappone."	The story presented by Camille Saint-Saens at the French Opéra tells of an artist "whose life revolves around love for drugs and Japan."
As a result, the performers smoke cannabis joints on stage, and the theatre itself is encouraging the audience to join in.	Questo significa che durante lo spettacolo gli attori fumano canne ed esortano il pubblico ad unirsi a loro.	Di conseguenza, gli artisti fumano cannabis sul palco, e il teatro stesso sta incoraggiando il pubblico ad unirsi.	This means that during the show the actors smoke reeds and urge the audience to join them.
Former House Speaker Newt Gingrich, Texas governor Rick Perry, and Congresswoman Michele Bachmann finished in fourth, fifth, and sixth place, respectively.	Ottengono, rispettivamente, il quarto, il quinto e il sesto posto Newt Gingrich, ex presidente della Camera, Rick Perry, governatore del Texas e la deputata Michele Bachmann.	L'ex presidente della Camera Newt Gingrich, il governatore del Texas Rick Perry, e la congressista Michele Bachmann hanno concluso rispettivamente al quarto, quinto e sesto posto.	They get fourth, fifth and sixth place respectively Newt Gingrich, former President of the House, Rick Perry, Governor of Texas and Congresswoman Michele Bachmann.
After the results came in, Gingrich lauded Santorum, but had tough words for Romney, on whose behalf negative campaign advertisements were aired in Iowa against Gingrich.	Dopo l'arrivo dei risultati, Gingrich ha lodato Santorum ma ha dispensato parole dure per Romney, per conto del quale sono stati trasmessi in Iowa annunci elettorali negativi contro Gingrich.	Dopo che i risultati sono arrivati, Gingrich lodato Santorum, ma aveva parole dure per Romney, per conto del quale la campagna pubblicitaria negativa sono stati trasmessi in Iowa contro Gingrich.	After the results arrived, Gingrich praised Santorum but dispensed harsh words for Romney, on behalf of which were broadcast in Iowa negative electoral announcements against Gingrich.
Perry stated that he would "return to Texas to assess the results of tonight's caucus, determine whether there is a path forward for myself in this race", but later said that he would remain in the race and compete in the January 21 South Carolina primary.	Perry ha dichiarato: "Tornerò in Texas per verificare i risultati della consultazione di stasera e vedere se per me c'è la possibilità di proseguire in questa competizione"; tuttavia in seguito ha affermato che rimarrà in corsa e il 21 gennaio parteciperà alle primarie nel South Carolina.	Perry ha dichiarato che sarebbe "tornato in Texas per valutare i risultati del caucus di stasera, determinare se c'è un percorso in avanti per me in questa gara," ma più tardi ha detto che sarebbe rimasto in gara e competere nel primario di South Carolina 21 gennaio.	Perry said: "I will return to Texas to verify the results of the consultation tonight and see if there is a chance for me to continue in this competition"; however later he said he will remain in the race and on January 21 he will participate in the primary in South Carolina.
Bachmann, who won the Ames Straw Poll in August, decided to end her campaign.	Bachmann, che ad agosto ha vinto lo straw poll in Iowa, ha deciso di terminare la sua campagna.	Bachmann, che in agosto vinse l'Ames Straw Poll, decise di terminare la sua campagna.	Bachmann, who won the Straw Poll in Iowa in August, decided to finish his campaign.
The photographer was transported to Ronald Reagan UCLA Medical Center, where he subsequently died.	Il fotografo è stato trasferito d'urgenza al Ronald Reagan UCLA Medical Center, dove in seguito è deceduto.	Il fotografo fu trasportato al Ronald Reagan UCLA Medical Center, dove morì successivamente.	The photographer was transferred as a matter of urgency to Ronald Reagan UCLA Medical Center, where he later died.
He was reportedly aged in his 20s. In a statement, Bieber said "[w]hile I was not present nor directly involved with this tragic accident, my thoughts and prayers are with the family of the victim."	Stando a quanto riferito aveva circa 20 anni. Bieber ha dichiarato "Anche se non ero presente né direttamente coinvolto in questo terribile incidente, i miei pensieri e le mie preghiere vanno ai familiari della vittima".	In una dichiarazione, Bieber disse: "Mentre non ero presente né direttamente coinvolto in questo tragico incidente, i miei pensieri e le mie preghiere sono con la famiglia della vittima."	According to reports he was about 20 years old. Bieber said "Even though I was not present or directly involved in this terrible incident, my thoughts and prayers go to the victim's family" .
Entertainment news website TMZ understands the photographer stopped his vehicle on the other side of Sepulveda Boulevard and attempted to take pictures of the police stop before crossing the road and continuing, prompting the California Highway Patrol police officer conducting the traffic stop to order him back across, twice.	Da quanto appreso dal sito web di notizie di intrattenimento TMZ, il fotografo ha fermato il suo veicolo dalla parte opposta di Sepulveda Boulevard e ha cercato di fotografare l'ufficiale di polizia che dirigeva il traffico allo stop, poi ha attraversato la strada e ha proseguito, costringendo l'ufficiale di polizia della California Highway Patrol che stava effettuando il controllo del traffico allo stop a intimargli per due volte di tornare indietro.	Il sito web di notizie sull'intrattenimento TMZ capisce che il fotografo ha fermato il suo veicolo dall'altra parte di Sepulveda Boulevard e ha cercato di fare foto alla fermata della polizia prima di attraversare la strada e continuare, spingendo l'agente di polizia della California Highway Patrol a condurre la fermata del traffico per ordinarlo di nuovo attraverso, due volte.	From what was learned from the TMZ entertainment news website, the photographer stopped his vehicle from the opposite side of Sepulveda Boulevard and tried to photograph the police officer who was running traffic at the stop, then crossed the street and continued, forcing the California Highway Patrol police officer who was carrying out traffic control at the stop stop to inform him twice to go back.
According to police, the driver of the vehicle that hit the photographer is unlikely to face criminal charges.	Secondo la polizia, è poco probabile che il conducente dell'auto che ha investito il fotografo subisca accuse penali.	Secondo la polizia, l'autista del veicolo che ha colpito il fotografo è improbabile che faccia fronte a accuse penali.	According to the police, it is unlikely that the driver of the car who hit the photographer will suffer criminal charges.
With only eighteen medals available a day, a number of countries have failed to make the medal podium.	Con soltanto diciotto medaglie disponibili ogni giorno, un buon numero di Paesi non ce l'ha fatta a salire sul podio.	Con solo diciotto medaglie disponibili al giorno, un certo numero di paesi non sono riusciti a fare il podio della medaglia.	With only eighteen medals available every day, a good number of countries did not make it to the podium.
They include the Netherlands, with Anna Jochemsen finishing ninth in the women's standing class in the Super-G yesterday, and Finland with Katja Saarinen finishing tenth in the same event.	Tra questi, l'Olanda con Anna Jochemsen piazzata al nono posto nella classifica femminile nel Super-G di ieri, e la Finlandia con Katja Saarinen piazzata al decimo posto nella stessa classifica.	Tra questi vi sono i Paesi Bassi, con Anna Jochemsen nona nella classe femminile del Super-G ieri, e la Finlandia con Katja Saarinen decima nella stessa gara.	Among these, the Netherlands with Anna Jochemsen placed ninth in the women's ranking in the Super-G yesterday, and Finland with Katja Saarinen placed tenth in the same ranking.
Australia's Mitchell Gourley finished eleventh in the men's standing Super-G. Czech competitor Oldrich Jelinek finished sixteenth in the men's sitting Super-G.	L'australiano Mitchell Gourley ha ottenuto l'undicesimo posto nel Super-G maschile, mentre l'avversario ceco Oldrich Jelinek ha ottenuto sedicesimo posto nella stessa specialità.	Australia's Mitchell Gourley finito undicesimo nella posizione maschile Super-G. concorrente ceco Oldrich Jelinek finito sedicesimo nella seduta maschile Super-G.	The Australian Mitchell Gourley got 11th place in the male Super-G, while the Czech opponent Oldrich Jelinek got 16th place in the same specialty.
Arly Velasquez of Mexico finished fifteenth in the men's sitting Super-G. New Zealand's Adam Hall finished ninth in the men's standing Super-G.	Il messicano Arly Velasquez ha concluso al quindicesimo posto nel Super-G seduto maschile. Nel Super-G in piedi maschile è arrivato nono il neozelandese Adam Hall.	Arly Velasquez del Messico finito quindicesimo nella seduta maschile Super-G. Nuova Zelanda Adam Hall finito nono nella posizione maschile Super-G.	Mexican Arly Velasquez finished in 15th place in the Super-G sitting male. In the Super-G standing male arrived ninth the New Zealander Adam Hall.
Poland's men's visually impaired skier Maciej Krezel and guide Anna Ogarzynska finished thirteenth in the Super-G. South Korea's Jong Seork Park finished twenty-fourth in the men's sitting Super-G.	Lo sciatore polacco non vedente Maciej Krezel e la sua guida Anna Ogarzynska si sono classificati al tredicesimo posto nel Super-G. Il sudcoreano Jong Seork Park si è classificato al ventiquattresimo posto nel Super-G maschile.	La sciatrice polacca Maciej Krezel e la guida Anna Ogarzynska hanno concluso il tredicesimo posto nel Super-G. Il South Korea's Jong Seork Park ha concluso il ventiquattresimo posto nel Super-G.	Polish blind skier Maciej Krezel and his guide Anna Ogarzynska ranked 13th in the Super-G. South Korean Jong Seork Park ranked 24th in the male Super-G.
UN peacekeepers, whom arrived in Haiti after the 2010 earthquake, are being blamed for the spread of the disease which started near the troop's encampment.	Le forze di pace dell'ONU giunte ad Haiti dopo il terremoto del 2010 sono ritenute responsabili della diffusione della malattia, iniziata nei pressi dell'accampamento dei soldati.	I pacificatori delle Nazioni Unite, arrivati ad Haiti dopo il terremoto del 2010, sono accusati della diffusione della malattia iniziata nei pressi dell'accampamento delle truppe.	The UN peacekeeping forces arrived in Haiti after the 2010 earthquake are held responsible for the spread of the disease, which began near the army camp.
According to the lawsuit, waste from the UN camp was not properly sanitized, causing bacteria to enter the tributary of the Artibonite River, one of Haiti's largest.	Secondo la causa, l'inadeguata sanificazione dei rifiuti del campo delle Nazioni Unite ha provocato la contaminazione batterica dell'affluente del fiume Artibonite, uno dei principali di Haiti.	Secondo la causa, i rifiuti del campo delle Nazioni Unite non sono stati adeguatamente sanificati, causando batteri ad entrare nel affluente del fiume Artibonite, uno dei più grandi di Haiti.	According to the cause, the inadequate sanitization of the UN camp's waste caused the bacterial contamination of the tributary of the Artibonite River, one of the main ones in Haiti.
Prior to the arrival of troops, Haiti had not encountered problems related to the disease since the 1800s.	Prima dell'arrivo delle truppe, i problemi di Haiti legati alla malattia risalivano al 1800.	Prima dell'arrivo delle truppe, Haiti non aveva incontrato problemi legati alla malattia dal 1800.	Prior to the arrival of the troops, Haiti's disease problems rose back to 1800.
The Haitian Institute for Justice and Democracy has referenced independent studies that suggest the Nepalese UN peacekeeping battalion unknowingly brought the disease to Haiti.	L'Istituto haitiano per la Giustizia e la Democrazia ha citato studi indipendenti secondo i quali la malattia è stata inconsapevolmente introdotta ad Haiti dalle forse internazionali nepalesi di peacekeeping delle Nazioni Unite.	L'Haitian Institute for Justice and Democracy ha fatto riferimento a studi indipendenti che suggeriscono che il battaglione di mantenimento della pace delle Nazioni Unite nepalese ha portato la malattia ad Haiti inconsapevolmente.	The Haitian Institute for Justice and Democracy mentioned independent studies that the disease was unknowingly introduced in Haiti by the perhaps international Nepalese peacekeeping of the United Nations.
Danielle Lantagne, a UN expert on the disease, stated the outbreak was likely caused by the peacekeepers.	Danielle Lantagne, un'esperta delle Nazioni Unite sulla malattia, ha dichiarato che il focolaio potrebbe essere stato causato dalle forze di pace.	Danielle Lantagne, un esperto dell'ONU sulla malattia, ha dichiarato che l'epidemia è probabilmente causata dai pacificatori.	Danielle Lantagne, a United Nations expert on the disease, said that the outbreak could have been caused by the peace forces.
Hamilton confirmed Howard University Hospital admitted the patient in stable condition.	Hamilton ha confermato che il paziente è stato ricoverato all'ospedale universitario Howard in condizioni stabili.	Hamilton ha confermato che Howard University Hospital ha ricoverato il paziente in condizioni stabili.	Hamilton confirmed that the patient was admitted to Howard University Hospital in stable condition.
The patient had been to Nigeria, where some cases of the Ebola virus have occurred.	Il paziente si era recato in Nigeria, dove sono stati registrati alcuni casi di virus Ebola.	Il paziente era stato in Nigeria, dove si sono verificati alcuni casi del virus dell'ebola.	The patient had traveled to Nigeria, where some cases of Ebola virus were recorded.
The hospital has followed protocol for infection control, including separating the patient from others to prevent possible infection of others.	L'ospedale ha seguito il protocollo per il controllo delle infezioni, compreso l'isolamento del paziente per evitare che altri possano infettarsi.	L'ospedale ha seguito il protocollo per il controllo delle infezioni, compresa la separazione del paziente dagli altri per prevenire possibili infezioni degli altri.	The hospital followed the protocol to control infections, including the patient's isolation to prevent others from becoming infected.
Before The Simpsons Simon had worked on several shows in various positions.	Prima de I Simpson, Simon aveva lavorato a vari programmi in diversi ruoli.	Prima che i Simpson Simon avessero lavorato a diversi spettacoli in varie posizioni.	Before I Simpson, Simon had worked on various programs in different roles.
During the 1980s he worked on shows such as Taxi, Cheers, and The Tracy Ullman Show.	Negli anni '80 ha collaborato alla creazione di programmi come Taxi, Cheers e The Tracey Ullman Show.	Durante gli anni '80 ha lavorato a spettacoli come Taxi, Cheers e The Tracy Ullman Show.	In the 1980s he collaborated in the creation of programs such as Taxi, Cheers and The Tracey Ullman Show.
In 1989 he helped create The Simpsons with Brooks and Groening, and was responsible for hiring the show's first writing team.	Nel 1989 ha partecipato alla creazione di "The Simpsons" ("I Simpsons") insieme a Brooks e Groening e ha curato la selezione del primo team di sceneggiatori dello show.	Nel 1989 ha contribuito a creare The Simpsons con Brooks e Groening, ed è stato responsabile dell'assunzione del primo team di scrittura dello show.	In 1989 he participated in the creation of "The Simpsons" ("The Simpsons") together with Brooks and Groening and he curated the selection of the first team of screenwriters of the show.
Despite leaving the show in 1993 he kept the title of executive producer, and continued to receive tens of millions of dollars every season in royalties.	Fuoriuscito dal programma nel 1993, ha comunque mantenuto il titolo di produttore esecutivo continuando a riscuotere decine di milioni in royalties a ogni stagione.	Nonostante abbia lasciato lo spettacolo nel 1993, ha mantenuto il titolo di produttore esecutivo, e ha continuato a ricevere decine di milioni di dollari ogni stagione in royalties.	Outside the programme in 1993, however, he maintained the title of executive producer by continuing to collect tens of millions of royalties per season.
Earlier the Chinese news agency Xinhua reported a plane to be hijacked.	In un primo momento l'agenzia di stampa cinese Xinhua aveva segnalato il dirottamento di un aereo.	In precedenza l'agenzia di stampa cinese Xinhua ha segnalato un aereo da dirottare.	At first, the Chinese press agency Xinhua reported a hijacking of an airplane.
Later reports then stated the plane received a bomb threat and was diverted back to Afghanistan, landing in Kandahar.	Secondo i rapporti ricevuti successivamente l'aereo avrebbe ricevuto una minaccia di bomba ed è stato dirottato facendolo tornare in Afghanistan, per poi atterrare a Kandahar.	In seguito l'aereo ha ricevuto una minaccia bomba ed è stato dirottato verso l'Afghanistan, atterrando a Kandahar.	According to reports received later, the plane received a bomb threat and was hijacked and returned to Afghanistan, and then landed in Kandahar.
The early reports say the plane was diverted back to Afghanistan after being denied an emergency landing in Ürümqi.	I primi rapporti affermano che il velivolo è stato deviato nuovamente verso l'Afghanistan dopo che è stato negato l'atterraggio di emergenza a Ürümqi.	I primi rapporti dicono che l'aereo è stato dirottato in Afghanistan dopo essere stato negato un atterraggio di emergenza a Ürümqi.	The first reports state that the aircraft was rerouted to Afghanistan after it was denied emergency landing in Ürümqi.
Air accidents are common in Iran, which has an aging fleet that is poorly maintained both for civil and military operations.	Gli incidenti aerei sono comuni in Iran, la cui flotta è ormai obsoleta e mal mantenuta, sia dal punto di vista civile che da quello militare.	Gli incidenti aerei sono comuni in Iran, che ha una flotta di invecchiamento che è mal mantenuta sia per le operazioni civili che militari.	Air accidents are common in Iran, whose fleet is now obsolete and poorly maintained, both from a civil and military point of view.
International sanctions have meant that new aircraft cannot be purchased.	Le sanzioni internazionali hanno significato non poter acquistare nuovi velivoli.	Le sanzioni internazionali hanno comportato l'impossibilità di acquistare nuovi aeromobili.	International sanctions have meant that we cannot buy new aircraft.
Earlier this week, a police helicopter crash killed three people and wounded three more.	All'inizio di questa settimana, tre persone sono rimaste uccise e altre tre ferite in seguito ad un incidente di un elicottero della polizia.	All'inizio di questa settimana, un elicottero della polizia ha ucciso tre persone e ferito altri tre.	At the beginning of this week, three people were killed and three more were injured as a result of an accident in a police helicopter.
Last month Iran saw its worst air disaster in years when an airliner heading to Armenia crashed, killing the 168 on board.	Il mese scorso l'Iran ha vissuto il peggior disastro aereo degli ultimi anni: un aereo di linea diretto in Armenia è precipitato, causando la morte dei 168 passeggeri a bordo.	Il mese scorso l'Iran ha visto il suo peggior disastro aereo in anni in cui un aereo di linea diretto in Armenia si è schiantato, uccidendo i 168 a bordo.	Last month Iran experienced the worst air disaster in recent years: a direct scheduled plane in Armenia crashed, causing the deaths of 168 passengers on board.
The same month saw another airliner overrun a runway at Mashhad and strike a wall, killing seventeen.	Lo stesso mese ha visto un altro aereo di linea finire fuori pista a Mashad e schiantarsi contro un muro, uccidendo diciassette persone.	Lo stesso mese vide un altro aereo invadere una pista a Mashhad e colpire un muro, uccidendo diciassette.	The same month he saw another scheduled plane go off track in Mashad and crash into a wall, killing 17 people.
Aerosmith have cancelled their remaining concerts on their tour.	I successivi concerti del tour sono stati annullati dagli Aerosmith.	Gli Aerosmith hanno cancellato i loro concerti rimasti durante il loro tour.	The following concerts on the tour were cancelled by Aerosmith.
The rock band was due to tour the United States and Canada until September 16.	Il gruppo rock sarenne dovuto partire per una tournée negli Stati Uniti e in Canada che doveva durare fino al 16 settembre.	La rock band era in tour negli Stati Uniti e in Canada fino al 16 settembre.	The rock band would have to leave for a tour in the United States and Canada that would last until 16 September.
They have cancelled the tour after lead singer Steven Tyler was injured after he fell off stage while performing on August 5.	Ha annullato il tour dopo che il lead vocalist Steven Tyler si è infortunato a seguito di una caduta dal palco durante una performance il 5 agosto.	Hanno cancellato il tour dopo che il cantante Steven Tyler è stato ferito dopo che è caduto dal palco durante l'esibizione il 5 agosto.	He canceled the tour after lead vocalist Steven Tyler injured himself as a result of a fall from the stage during a performance on August 5.
Murray lost the first set in a tie break after both men held each and every serve in the set.	Murray ha perso il primo set al tie-break, dopo che i giocatori avevano mantenuto ciascuno il servizio nel set.	Murray ha perso il primo set in una pausa cravatta dopo che entrambi gli uomini hanno tenuto ogni servizio nel set.	Murray lost the first set at the tie-break, after players had each maintained the service in the set.
Del Potro had the early advantage in the second set, but this too required a tie break after reaching 6-6.	Del Potro ha avuto un vantaggio iniziale nel secondo set, anch'esso terminato comunque con un tie-break dopo il punteggio di 6-6.	Del Potro ha avuto il vantaggio iniziale nel secondo set, ma anche questo ha richiesto una pausa cravatta dopo aver raggiunto 6-6.	Del Potro had an initial advantage in the second set, also finished with a tie-break after the score of 6-6.
Potro received treatment to his shoulder at this point but managed to return to the game.	A questo punto, Del Potro è stato sottoposto a un trattamento alla spalla ma è riuscito a tornare a giocare.	Potro ricevette un trattamento alle spalle a questo punto ma riuscì a tornare al gioco.	At this point, Del Potro was treated in the shoulder but managed to return to play.
The program started at 8:30 p.m. local time (15.00 UTC).	L'inizio del programma è stato alle 20:30 locali (15:00 UTC).	Il programma è iniziato alle 20:30 ora locale (15.00 UTC).	The start of the program was at 20:30 local (15:00 UTC).
Famous singers across the country presented bhajans, or devotional songs, to Shri Shyam's feet.	Alcuni cantanti famosi da tutto il Paese hanno offerto ai piedi di Shri Shyam i bhajan, ovvero dei canti di devozione.	I famosi cantanti di tutto il paese hanno presentato bhajans, o canzoni devozionali, ai piedi di Shri Shyam.	Some famous singers from all over the country offered at the feet of Shri Shyam the bhajans, or songs of devotion.
Singer Sanju Sharma started the evening, followed by Jai Shankar Choudhary. esented the chhappan bhog bhajan as well. Singer, Raju Khandelwal was accompanying him.	Il cantante Sanju Sharma ha aperto la serata, seguito da Jai Shankar Choudhary. Lakkha Singh, accompagnato dal cantante Raju Khandelwal, ha presentato anche il bhajan chhappan bhog.	Il cantante Sanju Sharma ha iniziato la serata, seguita da Jai Shankar Choudhary. ha inviato anche il bhog bhajan chappan. Singer, Raju Khandelwal lo stava accompagnando.	The singer Sanju Sharma opened the evening, followed by Jai Shankar Choudhary. Lakkha Singh, accompanied by singer Raju Khandelwal, also presented the bhajan chhappan bhog.
Then, Lakkha Singh took the lead in singing the bhajans.	Poi, Lakkha Singh ha preso l'iniziativa iniziando a cantare i bhajan.	Poi, Lakkha Singh prese il comando nel cantare i bhajan.	Then, Lakkha Singh took the initiative by starting to sing the bhajans.
108 plates of Chhappan Bhog (in Hinduism, 56 different edible items, like, sweets, fruits, nuts, dishes etc. which are offered to deity) were served to Baba Shyam.	Sono stati serviti a Baba Shyam 108 piatti Chhappan Bhog (per la religione induista, 56 prodotti commestibili tra cui dolci, frutta, noci, pietanze, ecc. offerti alla divinità).	108 piatti di Chappan Bhog (in induismo, 56 diversi articoli commestibili, come, dolci, frutta, noci, piatti ecc che sono offerti alla divinità) sono stati serviti a Baba Shyam.	At Baba Shyam 108 dishes were served Chhappan Bhog (for the Hindu religion, 56 edible products including desserts, fruit, nuts, dishes, etc. offered to the divinity).
Lakkha Singh presented the chhappan bhog bhajan as well. Singer, Raju Khandelwal was accompanying him.	Lakkha Singh ha inoltre presentato il bhajan per il chhappan bhog. Lo ha accompagnato il cantante Raju Khandelwal.	Lakkha Singh ha presentato anche il chappan bhog bhajan. Singer, Raju Khandelwal lo stava accompagnando.	Lakkha Singh also presented the bhajan for the chhappan bhog. He was accompanied by singer Raju Khandelwal.
At Thursday's keynote presentation of the Tokyo Game Show, Nintendo president Satoru Iwata unveiled the controller design for the company's new Nintendo Revolution console.	Al discorso di presentazione del Tokyo Game Show di giovedì, Satoru Iwata, presidente di Nintendo, ha rivelato il design del controller della nuova console Nintendo Revolution.	Alla presentazione di giovedì del Tokyo Game Show, il presidente Nintendo Satoru Iwata ha presentato il design del controller per la nuova console Nintendo Revolution.	At the presentation speech of the Tokyo Game Show on Thursday, Satoru Iwata, president of Nintendo, revealed the design of the controller of the new Nintendo Revolution console.
Resembling a television remote, the controller uses two sensors placed near the user's television to triangulate its position in three-dimensional space.	In modo analogo al telecomando della TV, attraverso due sensori situati accanto al televisore dell'utente il controller riesce a triangolare la sua posizione nello spazio tridimensionale.	Ricompostando un telecomando televisivo, il controller utilizza due sensori posizionati vicino alla televisione dell'utente per triangolare la sua posizione nello spazio tridimensionale.	Similarly to the TV remote control, the controller manages to triangulate its position in three-dimensional space through two sensors located next to the user's television.
This will allow players to control actions and movements in video games by moving the device through the air.	Questo consentirà ai giocatori di controllare le azioni e i movimenti all'interno del videogioco muovendo in aria il dispositivo.	Questo permetterà ai giocatori di controllare azioni e movimenti nei videogiochi spostando il dispositivo attraverso l'aria.	This will allow players to control the actions and movements within the video game by moving the device in the air.
Giancarlo Fisichella lost control of his car and ended the race very soon after the start.	Poco dopo la partenza, Giancarlo Fisichella ha perso il controllo della sua auto e ha terminato la sua gara.	Giancarlo Fisichella ha perso il controllo della sua auto e ha chiuso la gara molto presto dopo la partenza.	Shortly after his departure, Giancarlo Fisichella lost control of his car and finished his race.
