"We now have 4-month-old mice that are non-diabetic that used to be diabetic," he added.	«Actualmente, tenemos ratones de cuatro meses de edad que antes solían ser diabéticos y que ya no lo son», agregó.	"Ahora tenemos ratones de 4 meses que no son diabéticos que solían ser diabéticos", agregó.	"Currently, we have four-month-old mice who used to be diabetic and who are no longer diabetic," he added.
Four skiers in the women's sitting group failed to finish their runs, and 45 of the 117 total skiers in the Giant Slalom failed to rank in the race.	Cuatro esquiadoras de la categoría sentadas no lograron completar sus carreras y un total de 45 participantes de 117 del Slalom Gigante no alcanzaron la clasificación en la carrera.	Cuatro esquiadores en el grupo femenino no lograron terminar sus carreras, y 45 de los 117 esquiadores totales en el Slalom gigante no lograron clasificarse en la carrera.	Four skiers in the seated category failed to complete their careers and a total of 45 participants from 117 of the Slalom Giant did not reach the qualification in the race.
The Madhya Pradesh Police recovered the stolen laptop and mobile phone.	La fuerza policial de Madhya Pradesh pudo recuperar el ordenador portátil y el teléfono celular sustraídos.	La policía de Madhya Pradesh recuperó el portátil y el teléfono móvil robados.	Madhya Pradesh police force was able to retrieve the stolen laptop and cell phone.
Deputy Inspector General D K Arya said, "We have arrested five persons who raped the Swiss woman and recovered her mobile and laptop".	El inspector general adjunto, D.K. Arya, declaró: «Hemos puesto bajo arresto a cinco individuos que abusaron de la mujer suiza y recuperamos su teléfono móvil y su computadora portátil».	El Inspector General Adjunto D. K. Arya dijo: "Hemos arrestado a cinco personas que violaron a la mujer suiza y recuperaron su móvil y su portátil".	Deputy Inspector General D.K. Arya stated: "We have arrested five individuals who abused the Swiss woman and retrieved her mobile phone and laptop."
The accused are named as Baba Kanjar, Bhutha Kanjar, Rampro Kanjar, Gaza Kanjar and Vishnu Kanjar.	Baba, Bhutha, Rampro, Gaza y Vishnu Kanjar son los imputados.	Los acusados llevan el nombre de Baba Kanjar, Bhutha Kanjar, Rampro Kanjar, Gaza Kanjar y Vishnu Kanjar.	Baba, Bhutha, Rampro, Gaza and Vishnu Kanjar are the accused.
Police superintendent Chandra Shekhar Solanki said the accused appeared in court with covered faces.	Según manifestara el superintendente de la policía, Chandra Shekhar Solanki, los acusados se presentaron ante el tribunal con sus rostros cubiertos.	La superintendente de policía Chandra Shekhar Solanki dijo que el acusado compareció ante el tribunal con las caras cubiertas.	According to police superintendent Chandra Shekhar Solanki, the defendants appeared in court with their faces covered.
Although three people were inside the house when the car impacted it, none of them were hurt.	A pesar de que había tres personas en el interior de la vivienda en el momento del impacto del automóvil, ninguna de ellas sufrió lesiones.	Aunque tres personas estaban dentro de la casa cuando el coche la impactó, ninguna de ellas resultó herida.	Despite the fact that there were three people inside the house at the time of the impact of the car, none of them suffered injuries.
However, the driver sustained serious injuries to the head.	No obstante, el conductor sufrió lesiones graves en su cabeza.	Sin embargo, el conductor sufrió heridas graves en la cabeza.	However, the driver suffered serious head injuries.
The road where the crash happened was temporarily closed while emergency services freed the driver from the red Audi TT.	La carretera donde se produjo el accidente fue cerrada temporalmente mientras los servicios de emergencia sacaban de su interior al conductor del Audi TT rojo.	La carretera donde ocurrió el accidente se cerró temporalmente mientras que los servicios de emergencia liberaron al conductor del Audi TT rojo.	The road where the accident occurred was temporarily closed while the emergency services removed the driver of the red Audi TT from its interior.
He was initially hospitalised in the James Paget Hospital in Great Yarmouth.	En un principio, se lo trasladó al Hospital James Paget de Great Yarmouth.	Inicialmente fue hospitalizado en el Hospital James Paget en Great Yarmouth.	He was initially transferred to James Paget Hospital in Great Yarmouth.
He was subsequently relocated to Addenbrooke's Hospital in Cambridge.	Luego lo trasladaron al Hospital Addenbrooke, en Cambridge.	Posteriormente fue trasladado al Hospital de Addenbrooke en Cambridge.	He was then transferred to Addenbrooke Hospital in Cambridge.
Adekoya has since been in Edinburgh Sheriff Court charged with murdering her son.	Desde entonces, Adekoya ha estado en el Tribunal del condado de Edimburgo, acusada del asesinato de su hijo.	Adekoya ha estado desde entonces en la Corte del Sheriff de Edimburgo acusado de asesinar a su hijo.	Since then, Adekoya has been in Edinburgh County Court, charged with the murder of her son.
She is in custody pending indictment and trial, but any eyewitness evidence may be tainted because her image has been widely published.	Si bien ella se encuentra bajo custodia a la espera de la acusación y el juicio, cualquier declaración de un testigo ocular puede ser cuestionable, ya que su imagen ha sido objeto de una amplia difusión.	Está bajo custodia en espera de acusación y juicio, pero cualquier prueba de un testigo ocular puede estar manchada porque su imagen ha sido ampliamente publicada.	While she is in custody awaiting prosecution and trial, any statement by an eyewitness may be questionable, as her image has been widely disseminated.
This is common practice elsewhere in the UK but Scottish justice works differently and courts have viewed publication of photos as potentially prejudicial.	Es una práctica común en otras regiones del Reino Unido, pero como la justicia escocesa funciona de otro modo, los tribunales consideraron la publicación de fotografías como algo potencialmente perjudicial.	Esta es una práctica común en otras partes del Reino Unido, pero la justicia escocesa funciona de manera diferente y los tribunales han considerado que la publicación de fotos puede ser perjudicial.	It is a common practice in other regions of the United Kingdom, but since Scottish justice works differently, the courts considered the publication of photographs as potentially harmful.
Professor Pamela Ferguson of the University of Dundee notes "journalists do seem to be walking a dangerous line if publishing photos etc of suspects."	La profesora Pamela Ferguson de la Universidad de Dundee señaló: «al parecer, los periodistas caminan sobre terreno peligroso cuando publican fotos u otra información de los sospechosos».	La profesora Pamela Ferguson de la Universidad de Dundee señala que "los periodistas parecen estar caminando una línea peligrosa si publican fotos, etc., de sospechosos".	Professor Pamela Ferguson of Dundee University said: "It seems that journalists walk on dangerous ground when they post photos or other information about suspects."
Crown Office, which is in overall charge of prosecutions, has indicated to journalists that no further comment will be made at least until indictment.	La Oficina de la Corona, que tiene a su cargo los procesamientos, señaló a los periodistas que no se harían comentarios adicionales al menos hasta que se dicte el auto de procesamiento.	La Oficina de la Corona, que está a cargo en general de los enjuiciamientos, ha indicado a los periodistas que no se formularán más observaciones al menos hasta la acusación.	The Crown Office, which is responsible for the prosecutions, told journalists that no additional comments would be made at least until the indictment was issued.
The document, according to the leak, will refer to the borders dispute, which Palestine wants based on the borders before the 1967 Mideast War.	Según la información que se filtró, el documento tratará sobre el conflicto fronterizo, que Palestina pretende resolver basándose en los límites vigentes en forma previa a la Guerra del Medio Oriente de 1967.	El documento, según la filtración, se referirá a la disputa de fronteras, que Palestina quiere sobre la base de las fronteras antes de la Guerra del Medio Oriente de 1967.	According to the information leaked, the document will deal with the border conflict, which Palestine intends to resolve on the basis of the limits in force prior to the 1967 Middle East War.
Other topics covered reportedly include the future state of Jerusalem which is sacred to both nations and the Jordan Valley issue.	Otros tópicos que también se abordaron, según fuera informado, incluyen el futuro estado de Jerusalén, que ambas naciones consideran sagrado, y el problema del Valle del Jordán.	Según se informa, otros temas tratados incluyen el futuro estado de Jerusalén, que es sagrado para ambas naciones y la cuestión del Valle del Jordán.	Other topics that were also addressed, as reported, include the future state of Jerusalem, which both nations consider sacred, and the problem of the Jordan Valley.
Israel demands an ongoing military presence in the valley for ten years once an agreement is signed while the PA agrees to leave such presence only for five years.	Israel exige una presencia militar constante en el valle por diez años una vez que se firme el acuerdo, mientras que PA solo acepta cinco.	Israel exige una presencia militar continua en el valle durante diez años una vez que se firme un acuerdo, mientras que la Autoridad Palestina acepta dejar esa presencia sólo durante cinco años.	Israel demands a constant military presence in the valley for ten years once the agreement is signed, while PA only accepts five.
Shooters in the supplementary pest control trial were to be closely supervised by rangers, as the trial was monitored and its effectiveness evaluated.	Durante el ensayo complementario de control de plagas, los guardabosques debían supervisar de cerca a los tiradores, dado que éste se monitoreaba y se evaluaba su efectividad.	Los tiradores en el ensayo complementario de control de plagas debían ser estrechamente supervisados por los guardabosques, ya que el ensayo fue monitoreado y se evaluó su eficacia.	During the supplementary pest control test, forest rangers were required to closely monitor the shooters, as the shooters were monitored and their effectiveness assessed.
In a partnership of NPWS and the Sporting Shooters Association of Australia (NSW) Inc, qualified volunteers were recruited, under the Sporting Shooters Association's hunting program.	En una unión entre NPWS y la Asociación de Tiradores Deportivos de Australia (NSW) Inc., se reclutaron voluntarios idóneos dentro del programa de caza de la Asociación de Tiradores Deportivos.	En una asociación de NPWS y la Asociación de Shooters Deportivos de Australia (NSW) Inc, voluntarios calificados fueron reclutados, bajo el programa de caza de la Asociación de Shooters Deportivos.	In a union between NPWS and the Sports Shooters Association of Australia (NSW) Inc., suitable volunteers were recruited within the hunting program of the Sports Shooters Association.
According to Mick O'Flynn, the Acting Director Park Conservation and Heritage with the NPWS, the four shooters selected for the first shooting operation received comprehensive safety and training instruction.	Mick O'Flynn, quien se encuentra a cargo, provisoriamente, de la oficina de Conservación y Patrimonio del Parque del NPWS, señaló que se brindó una capacitación integral en seguridad y entrenamiento a los cuatro tiradores escogidos para la operación de tiro.	Según Mick O'Flynn, director interino de Park Conservation and Heritage junto con el NPWS, los cuatro tiradores seleccionados para la primera operación de tiro recibieron instrucciones completas de seguridad y entrenamiento.	Mick O'Flynn, who is temporarily in charge of the NPWS Park Conservation and Heritage Office, said that comprehensive training in safety and training was provided to the four shooters chosen for the shooting operation.
Martelly swore in a new Provisional Electoral Council (CEP) of nine members yesterday.	El día de ayer, Martelly juró en un nuevo Consejo Electoral Provisional (CEP, por sus siglas en inglés) de nueve miembros.	Martelly juró ayer en un nuevo Consejo Electoral Provisional (CEP) de nueve miembros.	Yesterday, Martelly swore in a new nine-member Provisional Electoral Council (CEP).
It is Martelly's fifth CEP in four years.	En cuatro años, es el quinto CEP de Martelly.	Es el quinto CEP de Martelly en cuatro años.	In four years, it's Martelly's fifth CEP.
Last month a presidential commission recommended the prior CEP's resignation as part of a package of measures to move the country towards new elections.	El mes pasado, una comisión presidencial aconsejó que el CEP anterior renunciara, en el marco de una serie de medidas que procuran conducir al país hacia nuevas elecciones.	El mes pasado, una comisión presidencial recomendó la renuncia del CEP como parte de un paquete de medidas para llevar al país hacia nuevas elecciones.	Last month, a presidential commission advised that the previous CEP should resign, as part of a series of measures that seek to lead the country to new elections.
The commission was Martelly's response to widespread anti-regime protests that started in October.	La comisión fue la forma en que Martelly respondió a las manifestaciones generalizadas que iniciaron en octubre en contra del régimen.	La comisión fue la respuesta de Martelly a las protestas generalizadas contra el régimen que comenzaron en octubre.	The commission was the way Martelly responded to the widespread demonstrations that began in October against the regime.
The sometimes-violent protests were triggered by failure to hold elections, some due since 2011.	Las manifestaciones, en ocasiones violentas, fueron provocadas por el hecho de que no se llevan adelante elecciones, en algunos casos desde el año 2011.	Las protestas, a veces violentas, fueron desencadenadas por la falta de celebración de elecciones, algunas de las cuales debían celebrarse desde 2011.	The demonstrations, sometimes violent, were provoked by the fact that no elections have been held, in some cases since 2011.
Around 60 cases of malfunctioning iPods overheating have been reported, causing a total of six fires and leaving four people with minor burns.	Se han denunciado cerca de 60 casos de iPods con problemas de funcionamiento y calentamiento exesivo, lo que originó seis incendios y provocó quemaduras menores a cuatro personas.	Se han reportado alrededor de 60 casos de sobrecalentamiento de iPods en mal funcionamiento, causando un total de seis incendios y dejando a cuatro personas con quemaduras menores.	Nearly 60 cases of iPods with operating problems and excessive heating have been reported, resulting in six fires and minor burns to four people.
Japan's Ministry of Economy, Trade and Industry (METI) said that it had been aware of 27 accidents related to the devices.	El Ministerio de Economía, Comercio e Industria japonés (METI) informó haber registrado 27 accidentes que involucraban a estos aparatos.	El Ministerio de Economía, Comercio e Industria del Japón (METI) dijo que había tenido conocimiento de 27 accidentes relacionados con los dispositivos.	The Japanese Ministry of Economy, Commerce and Industry (METI) reported 27 accidents involving these devices.
Last week, METI announced that Apple had informed it of 34 additional overheating incidents, which the company called "non-serious."	La semana pasada, METI anunció que Apple les había informado de 34 incidentes adicionales de sobrecalentamiento, que la compañía catalogó como «no graves».	La semana pasada, METI anunció que Apple le había informado de 34 incidentes de sobrecalentamiento adicionales, que la compañía calificó de "no serios".	Last week, METI announced that Apple had informed them of 34 additional overheating incidents, which the company classified as "non-serious".
The ministry responded by calling Apple's postponement of the report "truly regrettable."	El ministerio se pronunció en relación al retraso en el informe de Apple, diciendo que era algo «verdaderamente lamentable».	El ministerio respondió llamando al aplazamiento del informe por Apple "verdaderamente lamentable".	The ministry spoke out about the delay in Apple's report, saying it was something "really regrettable".
The eathquake struck Mariana at 07:19 a.m. local time (09:19 p.m. GMT Friday).	Mariana fue sacudida por un sismo a las 7:19 h hora local (21:19 h GMT) el viernes.	El eathquake golpeó a Mariana a las 07:19 a.m. hora local (09:19 p.m. GMT viernes).	Mariana was shaken by an earthquake at 7:19 a.m. local time (21:19 h GMT) on Friday.
The Northern Marianas emergency management office said that there were no damages reported in the nation.	La agencia de manejo de emergencias de las Marianas del Norte indicó que no hubo registro de daños en el territorio nacional.	La oficina de gestión de emergencias de las Marianas del Norte dijo que no hubo daños reportados en la nación.	The Northern Mariana emergency management agency indicated that there was no record of damage in the national territory.
Also the Pacific Tsunami Warning Center said that there was no Tsunami indication.	Asimismo, el Centro de Alerta de Tsunamis del Pacífico informó la ausencia de indicadores de tsunami.	También el Pacific Tsunami Warning Center dijo que no había ninguna indicación de Tsunami.	The Pacific Tsunami Alert Centre also reported the absence of tsunami indicators.
A former Filipino policeman has kept Hong Kong tourists hostage by hijacking their bus in Manila, the capital of the Philippines.	En Manila, capital de Filipinas, un ex agente policial de ese país secuestró un autobús y mantuvo cautivos a turistas que venían de Hong Kong.	Un ex policía filipino ha mantenido a los turistas de Hong Kong como rehenes secuestrando su autobús en Manila, la capital de Filipinas.	In Manila, capital of the Philippines, a former Philippine police officer abducted a bus and held tourists from Hong Kong captive.
Rolando Mendoza fired his M16 rifle at the tourists.	Rolando Mendoza abrió fuego con su M16 contra los visitantes extranjeros.	Rolando Mendoza disparó su fusil M16 contra los turistas.	Rolando Mendoza opened fire with his M16 against foreign visitors.
Several hostages have been rescued and least six have been confirmed dead so far.	Se han rescatado varios rehenes y, hasta ahora, se ha confirmado que al menos seis han muerto.	Varios rehenes han sido rescatados y al menos seis han sido confirmados muertos hasta ahora.	Several hostages have been rescued and, so far, it has been confirmed that at least six have died.
Six hostages, including the children and elderly, were released early, as were the Filipino photographers.	Tanto los seis rehenes, entre los que había niños y ancianos, como los fotógrafos filipinos, fueron puestos en libertad temprano.	Seis rehenes, entre ellos niños y ancianos, fueron puestos en libertad temprano, al igual que los fotógrafos filipinos.	Both the six hostages, including children and the elderly, and Filipino photographers, were released early.
The photographers later took the place of an aged lady as she needed the lavatory. Mendoza was gunned down.	Más tarde, los fotógrafos ocuparon el lugar de una anciana porque necesitaba ir al baño. Mendoza fue acribillado.	Más tarde, los fotógrafos tomaron el lugar de una anciana que necesitaba el baño. Mendoza fue abatida a tiros.	Later, the photographers took the place of an old woman because she needed to go to the bathroom. Mendoza was shot.
Liggins followed in his father’s footsteps and entered a career in medicine.	Liggins siguió el mismo camino que su padre y comenzó a estudiar medicina.	Liggins siguió los pasos de su padre y entró en una carrera en medicina.	Liggins followed the same path as his father and began to study medicine.
He trained as an obstetrician and began to work at the Auckland's National Women's Hospital in 1959.	Recibió formación en obstetricia e ingresó a trabajar para el Hospital Nacional de Mujeres de Auckland hacia 1959.	Se formó como obstetra y comenzó a trabajar en el Hospital Nacional de Mujeres de Auckland en 1959.	She was trained in obstetrics and went to work for the Auckland National Women's Hospital around 1959.
While he was working at the hospital Liggins began to investigate premature labor during his spare time.	Liggins comenzó sus investigaciones sobre el parto prematuro en su tiempo libre, mientras trabajaba en el hospital.	Mientras trabajaba en el hospital Liggins comenzó a investigar el parto prematuro durante su tiempo libre.	Liggins began his research on premature delivery in his spare time while working in the hospital.
His research showed that if a hormone was administered it would speed up the baby's foetal lung maturation.	Su estudio demostró que la maduración pulmonar fetal del bebé podía ser agilizada a través de la administración de una hormona.	Su investigación mostró que si se administraba una hormona aceleraría la maduración pulmonar fetal del bebé.	His study showed that the baby's fetal lung maturation could be accelerated through the administration of a hormone.
Xinhua reported that government investigators recovered two 'black box' flight recorders on Wednesday.	Xinhua informó que el miércoles los investigadores del gobierno lograron recuperar los registradores de vuelo de la caja negra.	Xinhua informó que los investigadores del gobierno recuperaron dos grabadoras de vuelo 'caja negra' el miércoles.	Xinhua reported that on Wednesday government investigators managed to recover the flight recorders from the black box.
Fellow wrestlers also paid tribute to Luna.	Los luchadores compañeros de Luna también le rindieron homenaje.	Los luchadores compañeros también rindieron homenaje a Luna.	Luna's fellow fighters also paid homage to him.
Tommy Dreamer said "Luna was the first Queen of Extreme. My first manager. Luna passed away on the night of two moons. Pretty unique just like her. Strong woman."	Tommy Dreamer manifestó: «Luna fue la primera reina del Extremo. Falleció la noche de las dos lunas, algo único, como ella. Una mujer fuerte».	Tommy Dreamer dijo: "Luna fue la primera Reina del Extremo. Mi primer manager. Luna falleció en la noche de dos lunas. Bastante única como ella. Mujer fuerte."	Tommy Dreamer said: "Luna was the first queen of the Extreme. She died on the night of the two moons, something unique, like her. A strong woman".
Dustin "Goldust" Runnels commented that "Luna was as freaky as me...maybe even more...love her and will miss her...hopefully she's in a better place."	Dustin Oro en Polvo Runnels declaró: «Luna era tan rara como yo; hasta, incluso, más. La amo y la extrañaré. Espero que se encuentre en un lugar mejor».	Dustin "Goldust" Runnels comentó que "Luna era tan rara como yo... quizás aún más... la ame y la echará de menos... esperemos que esté en un lugar mejor".	Dustin Gold in Powder Runnels declared: "Luna was as rare as me; even more. I love her and I will miss her. I hope she is in a better place".
Out of 1,400 people polled prior to the 2010 federal election, those who oppose Australia becoming a republic grew by 8 per cent since 2008.	Desde 2008, entre los 1400 encuestados en forma previa a las elecciones federales de 2010 hubo un crecimiento del 8 % de quienes se oponen a que Australia se convierta en república.	De las 1.400 personas encuestadas antes de las elecciones federales de 2010, las que se oponen a que Australia se convierta en república aumentaron un 8% desde 2008.	Since 2008, among the 1400 polled prior to the 2010 federal elections, there has been a growth of 8% of those opposed to Australia becoming a republic.
Caretaker Prime Minister Julia Gillard claimed during the campaign of the 2010 federal election that she believed Australia should become a republic at the end of Queen Elizabeth II's reign.	Julia Gillard, primera ministra interina, sostuvo, durante la campaña de las elecciones federales de 2010, que consideraba que Australia debería pasar a ser una república una vez finalizado el mandato de la reina Isabel II.	La cuidadora primera ministra Julia Gillard afirmó durante la campaña de las elecciones federales de 2010 que creía que Australia debería convertirse en una república al final del reinado de la reina Isabel II.	Julia Gillard, interim prime minister, said, during the 2010 federal election campaign, that she believed that Australia should become a republic after the expiration of Queen Elizabeth II's term.
34 per cent of those in the poll share this view, wanting Queen Elizabeth II to be Australia's last monarch.	El 34 % de los encuestados comparte esta visión y quieren que Isabel II sea la última reina que haya Australia.	El 34% de los que participaron en la votación comparten esta opinión y desean que la reina Isabel II sea la última monarca de Australia.	34% of respondents share this view and want Elizabeth II to be the last queen in Australia.
At the extremes of the poll, 29 per cent of those surveyed believe Australia should become a republic as soon as possible, while 31 per cent believe Australia should never become a republic.	En un extremo de la encuesta se ubica un 29 % de personas que considera que Australia debería volverse una república cuanto antes; en el otro, un 31 % que cree que no debería hacerlo jamás.	Al final de la encuesta, el 29% de los encuestados cree que Australia debería convertirse en una república lo antes posible, mientras que el 31% cree que Australia nunca debería convertirse en una república.	At one end of the survey there are 29% of people who believe that Australia should become a republic as soon as possible; at the other, 31% who think it should never be done.
The Olympic gold medalist was due to swim in the 100m and 200m freestyle and in three relays at the Commonwealth Games, but due to his complaints his fitness has been in doubt.	El ganador olímpico de la medalla de oro debía nadar en el estilo libre de 100 metros y 200 metros, y en tres relevos en los Juegos de la Commonwealth, pero su condición física ha sido puesta en dudas a raíz de sus quejas.	El medallista olímpico de oro iba a nadar en los 100m y 200m de estilo libre y en tres relevos en los Juegos de la Commonwealth, pero debido a sus quejas su aptitud ha estado en duda.	The Olympic winner of the gold medal was to swim in the free style of 100 meters and 200 meters, and in three relays at the Commonwealth Games, but his physical condition has been cast into doubt as a result of his complaints.
He has been unable to take the drugs needed to overcome his pain as they are banned from the Games.	No ha podido tomarse medicamentos para aliviar el dolor, porque está prohibido su uso en los Juegos.	Ha sido incapaz de tomar las drogas necesarias para superar su dolor, ya que están prohibidos en los Juegos.	He has not been able to take pain-relief medicines, because it is forbidden to use them in the Games.
Curtis Cooper, a mathematician and computer science professor at the University of Central Missouri, has discovered the largest known prime number to date on January 25.	El 25 de enero, Curtis Cooper, matemático y profesor de ciencias de la informática en la Universidad de Central Misuri, descubrió el mayor número primo que se haya conocido.	Curtis Cooper, matemático y profesor de ciencias de la computación en la Universidad de Missouri Central, ha descubierto el mayor número primo conocido hasta la fecha el 25 de enero.	On January 25, Curtis Cooper, a mathematician and professor of computer science at the University of Central Missouri, discovered the largest number of cousins ever known.
Several people verified the discovery using different hardware and software by the beginning of February and it was announced on Tuesday.	Muchas personas comprobaron el hallazgo mediante el uso de varios tipos de hardware y software y a comienzos del mes de febrero y se dio a conocer el martes.	Varias personas verificaron el descubrimiento utilizando diferentes hardware y software a principios de febrero y fue anunciado el martes.	Many people verified the finding by using various types of hardware and software and at the beginning of February and made it known on Tuesday.
Comets may possibly have been a source of water delivery to the earth along with organic matter that can form proteins and support life.	Posiblemente, los cometas hayan servido como fuente de suministro de agua para nuestro planeta, así como de materia orgánica, la cual tiene la capacidad de formar proteínas y sustentar la vida.	Es posible que los cometas hayan sido una fuente de suministro de agua a la Tierra junto con la materia orgánica que puede formar proteínas y sostener la vida.	Comets may have served as a source of water for our planet, as well as organic matter, which has the ability to form proteins and sustain life.
Scientists hope to understand how planets form, especially how the Earth formed, since comets collided with the Earth long ago.	La expectativa de los científicos es comprender cómo se originan los planetas, en particular el nuestro, dado que los cometas se estrellaron en la Tierra mucho tiempo atrás.	Los científicos esperan entender cómo se forman los planetas, especialmente cómo se formó la Tierra, ya que los cometas chocaron con la Tierra hace mucho tiempo.	The expectation of scientists is to understand how planets originate, particularly ours, since comets crashed on Earth long ago.
Cuomo, 53, began his governorship earlier this year and signed a bill last month legalizing same-sex marriage.	Cuomo, de 53 años, asumió como gobernador al iniciar el año y el mes pasado suscribió un proyecto de ley que permite que personas de igual sexo a contraigan matrimonio.	Cuomo, de 53 años, comenzó su gobernación a principios de este año y firmó un proyecto de ley el mes pasado legalizando el matrimonio entre personas del mismo sexo.	Cuomo, 53, took office as governor at the beginning of the year and last month signed a bill that allows people of equal sex to marry.
He referred to the rumors as "political chatter and silliness".	Calificó de «habladuría política y boberías» a los rumores.	Se refirió a los rumores como "conversación política y tontería".	He described rumors as 'political talk and nonsense'.
He is speculated to make a run for president in 2016.	Se especula que se presentará a las elecciones presidenciales en 2016.	Se especula que se presentará a la presidencia en 2016.	It is speculated that he will run for presidential elections in 2016.
NextGen is a system the FAA claims would allow aircraft to fly shorter routes and save millions of gallons of fuel each year and cut carbon emissions.	NextGen es un sistema que, según afirma la Administración Federal de Aviación, reduciría las distancias de las rutas aéreas, lo cual ahorraría millones de galones de combustible por año, así como las emisiones de carbono.	NextGen es un sistema que la FAA afirma que permitiría a los aviones volar rutas más cortas y ahorrar millones de galones de combustible cada año y reducir las emisiones de carbono.	NextGen is a system that, according to the Federal Aviation Administration, would reduce distances from air routes, saving millions of gallons of fuel per year, as well as carbon emissions.
It uses satellite-based technology as opposed to older ground-radar-based technology to allow air traffic controllers to pinpoint aircraft with greater precision and give pilots more accurate information.	Emplea tecnología satelital, en contraste con la vieja tecnología de radar terrestre, con el fin de posibilitar que los controladores de tráfico aéreos detecten aeronaves con mayor precisión y proporcionen datos más exactos a los pilotos.	Utiliza tecnología basada en satélites en lugar de tecnología basada en radares terrestres más antiguas para permitir a los controladores de tráfico aéreo identificar las aeronaves con mayor precisión y proporcionar a los pilotos información más precisa.	It employs satellite technology, in contrast to old ground radar technology, to enable air traffic controllers to detect aircraft more accurately and provide more accurate data to pilots.
No extra transport is being put on and overground trains will not stop at Wembley, and car parking and park-and-ride facilities are unavailable at the ground.	No se implementará transporte adicional y los trenes no se detendrán en Wembley. El estacionamiento para automóviles y el disuasorio no estarán disponibles.	No se está poniendo ningún transporte adicional y los trenes sobre el terreno no se detendrán en Wembley, y los aparcamientos y las instalaciones para aparcar y conducir no están disponibles en el suelo.	No additional transportation will be implemented and trains will not stop at Wembley. Car parking and deterrence will not be available.
Fears of lack of transportation raised the possibility that the game would be forced to play behind closed doors without the team's supporters.	Debido a la preocupación generada por la posible falta de transporte, se consideró la posibilidad de que el juego se realizara a puertas cerradas, sin los fanáticos del equipo.	El temor a la falta de transporte planteó la posibilidad de que el juego se viera obligado a jugar a puerta cerrada sin los partidarios del equipo.	Due to the concern generated by the possible lack of transport, the possibility of the game being played behind closed doors, without the fans of the team, was considered.
A study published on Thursday in the journal Science reported on formation of a new bird species on the Ecuadorean Galápagos Islands.	El jueves, la revista Science dio a conocer una investigación que informaba sobre la aparición de una nueva especie de ave en las islas Galápagos ecuatorianas.	Un estudio publicado el jueves en la revista Science informó sobre la formación de una nueva especie de ave en las Islas Galápagos del Ecuador.	On Thursday, Science magazine released an investigation that reported the appearance of a new species of bird in the Ecuadorian Galapagos Islands.
Researchers from Princeton University in the United States and Uppsala University in Sweden reported the new species evolved in just two generations, though this process had been believed to take much longer, due to breeding between an endemic Darwin finch, Geospiza fortes, and the immigrant cactus finch, Geospiza conirostris.	Expertos de la Universidad de Princeton, en EE. UU., y de la de Uppsala, en Suecia, dieron a conocer que la nueva especie logró evolucionar en tan solo dos generaciones, aun cuando se estimaba que demoraría mucho más, a causa de la reproducción entre un pinzón de Darwin endémico, Geospiza fortes, y un pinzón de cactus migrante, Geospiza conirostris.	Investigadores de la Universidad de Princeton en los Estados Unidos y la Universidad de Uppsala en Suecia informaron de la nueva especie evolucionó en sólo dos generaciones, aunque se creía que este proceso tomaba mucho más tiempo, debido a la crianza entre un pinzón endémico de Darwin, Geospiza fortes, y el pinzón de cactus inmigrante, Geospiza conirostris.	Experts from Princeton University, USA, and Uppsala University, Sweden, announced that the new species managed to evolve in just two generations, even though it was estimated that it would take much longer, because of the reproduction between an endemic Darwin finch, Geospica fortes, and a migrant cactus finch, Geospica conirostris.
Gold may be worked into all sorts of shapes. It can be rolled into tiny shapes.	El oro puede adoptar toda clase de formas y enrollarse en figuras diminutas.	El oro se puede trabajar en todo tipo de formas. Se puede enrollar en formas diminutas.	Gold can take all kinds of forms and roll in tiny figures.
It can be pulled into thin wire, which can be twisted and plaited. It can be hammered or rolled into sheets.	No solo se puede martillar y enrollar en láminas, sino que también es posible estirarlo hasta lograr un alambre muy fino que puede retorcerse y trenzarse.	Se puede tirar en alambre delgado, que se puede retorcer y trenzar. Se puede martillar o enrollar en hojas.	Not only can it be hammered and rolled in sheets, but it is also possible to stretch it to a very fine wire that can twist and braid.
It can be made very thin, and stuck onto other metal. It can be made so thin that it was sometimes used to decorate the hand-painted pictures in books called "illuminated manuscripts".	Puede hacerse muy delgado y adherirse a otro metal. Es tal la delgadez que puede lograrse que se solía usar para decorar las ilustraciones hechas a mano en libros llamados «manuscritos iluminados».	Se puede hacer muy delgado, y pegado a otro metal. Se puede hacer tan delgado que a veces se utiliza para decorar las imágenes pintadas a mano en libros llamados "manuscritos iluminados".	It can become very thin and adhere to another metal. It is such thinness that it can be achieved that used to decorate hand-made illustrations in books called "lit manuscripts".
This is called a chemical's pH. You can make an indicator using red cabbage juice.	Esto se denomina pH de una sustancia química. Usted puede elaborar un indicador de pH utilizando jugo de col roja.	Esto se llama pH de una sustancia química. Usted puede hacer un indicador usando jugo de col roja.	This is called the pH of a chemical. You can make a pH indicator using red cabbage juice.
The cabbage juice changes color depending on how acidic or basic (alkaline) the chemical is.	El color del jugo de repollo se verá alterado en función de cuán ácida o básica (alcalina) sea la sustancia química.	El jugo de col cambia de color dependiendo de cuán ácido o básico (alcalina) es el producto químico.	The colour of the cabbage juice will be altered depending on how acidic or basic (alkaline) the chemical is.
