"We now have 4-month-old mice that are non-diabetic that used to be diabetic," he added.	"Abbiamo topi di quattro mesi che prima erano diabetici e ora non lo sono più", ha aggiunto.
UN peacekeepers, whom arrived in Haiti after the 2010 earthquake, are being blamed for the spread of the disease which started near the troop's encampment.	Le forze di pace dell'ONU giunte ad Haiti dopo il terremoto del 2010 sono ritenute responsabili della diffusione della malattia, iniziata nei pressi dell'accampamento dei soldati.
According to the lawsuit, waste from the UN camp was not properly sanitized, causing bacteria to enter the tributary of the Artibonite River, one of Haiti's largest.	Secondo la causa, l'inadeguata sanificazione dei rifiuti del campo delle Nazioni Unite ha provocato la contaminazione batterica dell'affluente del fiume Artibonite, uno dei principali di Haiti.
Prior to the arrival of troops, Haiti had not encountered problems related to the disease since the 1800s.	Prima dell'arrivo delle truppe, i problemi di Haiti legati alla malattia risalivano al 1800.
The Haitian Institute for Justice and Democracy has referenced independent studies that suggest the Nepalese UN peacekeeping battalion unknowingly brought the disease to Haiti.	L'Istituto haitiano per la Giustizia e la Democrazia ha citato studi indipendenti secondo i quali la malattia è stata inconsapevolmente introdotta ad Haiti dalle forse internazionali nepalesi di peacekeeping delle Nazioni Unite.
Danielle Lantagne, a UN expert on the disease, stated the outbreak was likely caused by the peacekeepers.	Danielle Lantagne, un'esperta delle Nazioni Unite sulla malattia, ha dichiarato che il focolaio potrebbe essere stato causato dalle forze di pace.
Hamilton confirmed Howard University Hospital admitted the patient in stable condition.	Hamilton ha confermato che il paziente è stato ricoverato all'ospedale universitario Howard in condizioni stabili.
The patient had been to Nigeria, where some cases of the Ebola virus have occurred.	Il paziente si era recato in Nigeria, dove sono stati registrati alcuni casi di virus Ebola.
The hospital has followed protocol for infection control, including separating the patient from others to prevent possible infection of others.	L'ospedale ha seguito il protocollo per il controllo delle infezioni, compreso l'isolamento del paziente per evitare che altri possano infettarsi.
Before The Simpsons Simon had worked on several shows in various positions.	Prima de I Simpson, Simon aveva lavorato a vari programmi in diversi ruoli.
During the 1980s he worked on shows such as Taxi, Cheers, and The Tracy Ullman Show.	Negli anni '80 ha collaborato alla creazione di programmi come Taxi, Cheers e The Tracey Ullman Show.
In 1989 he helped create The Simpsons with Brooks and Groening, and was responsible for hiring the show's first writing team.	Nel 1989 ha partecipato alla creazione di "The Simpsons" ("I Simpsons") insieme a Brooks e Groening e ha curato la selezione del primo team di sceneggiatori dello show.
Despite leaving the show in 1993 he kept the title of executive producer, and continued to receive tens of millions of dollars every season in royalties.	Fuoriuscito dal programma nel 1993, ha comunque mantenuto il titolo di produttore esecutivo continuando a riscuotere decine di milioni in royalties a ogni stagione.
Earlier the Chinese news agency Xinhua reported a plane to be hijacked.	In un primo momento l'agenzia di stampa cinese Xinhua aveva segnalato il dirottamento di un aereo.
Later reports then stated the plane received a bomb threat and was diverted back to Afghanistan, landing in Kandahar.	Secondo i rapporti ricevuti successivamente l'aereo avrebbe ricevuto una minaccia di bomba ed è stato dirottato facendolo tornare in Afghanistan, per poi atterrare a Kandahar.
The early reports say the plane was diverted back to Afghanistan after being denied an emergency landing in Ürümqi.	I primi rapporti affermano che il velivolo è stato deviato nuovamente verso l'Afghanistan dopo che è stato negato l'atterraggio di emergenza a Ürümqi.
Air accidents are common in Iran, which has an aging fleet that is poorly maintained both for civil and military operations.	Gli incidenti aerei sono comuni in Iran, la cui flotta è ormai obsoleta e mal mantenuta, sia dal punto di vista civile che da quello militare.
International sanctions have meant that new aircraft cannot be purchased.	Le sanzioni internazionali hanno significato non poter acquistare nuovi velivoli.
Earlier this week, a police helicopter crash killed three people and wounded three more.	All'inizio di questa settimana, tre persone sono rimaste uccise e altre tre ferite in seguito ad un incidente di un elicottero della polizia.
Last month Iran saw its worst air disaster in years when an airliner heading to Armenia crashed, killing the 168 on board.	Il mese scorso l'Iran ha vissuto il peggior disastro aereo degli ultimi anni: un aereo di linea diretto in Armenia è precipitato, causando la morte dei 168 passeggeri a bordo.
The same month saw another airliner overrun a runway at Mashhad and strike a wall, killing seventeen.	Lo stesso mese ha visto un altro aereo di linea finire fuori pista a Mashad e schiantarsi contro un muro, uccidendo diciassette persone.
Aerosmith have cancelled their remaining concerts on their tour.	I successivi concerti del tour sono stati annullati dagli Aerosmith.
The rock band was due to tour the United States and Canada until September 16.	Il gruppo rock sarenne dovuto partire per una tournée negli Stati Uniti e in Canada che doveva durare fino al 16 settembre.
They have cancelled the tour after lead singer Steven Tyler was injured after he fell off stage while performing on August 5.	Ha annullato il tour dopo che il lead vocalist Steven Tyler si è infortunato a seguito di una caduta dal palco durante una performance il 5 agosto.
Murray lost the first set in a tie break after both men held each and every serve in the set.	Murray ha perso il primo set al tie-break, dopo che i giocatori avevano mantenuto ciascuno il servizio nel set.
Del Potro had the early advantage in the second set, but this too required a tie break after reaching 6-6.	Del Potro ha avuto un vantaggio iniziale nel secondo set, anch'esso terminato comunque con un tie-break dopo il punteggio di 6-6.
Potro received treatment to his shoulder at this point but managed to return to the game.	A questo punto, Del Potro è stato sottoposto a un trattamento alla spalla ma è riuscito a tornare a giocare.
The program started at 8:30 p.m. local time (15.00 UTC).	L'inizio del programma è stato alle 20:30 locali (15:00 UTC).
Famous singers across the country presented bhajans, or devotional songs, to Shri Shyam's feet.	Alcuni cantanti famosi da tutto il Paese hanno offerto ai piedi di Shri Shyam i bhajan, ovvero dei canti di devozione.
Singer Sanju Sharma started the evening, followed by Jai Shankar Choudhary. esented the chhappan bhog bhajan as well. Singer, Raju Khandelwal was accompanying him.	Il cantante Sanju Sharma ha aperto la serata, seguito da Jai Shankar Choudhary. Lakkha Singh, accompagnato dal cantante Raju Khandelwal, ha presentato anche il bhajan chhappan bhog.
Then, Lakkha Singh took the lead in singing the bhajans.	Poi, Lakkha Singh ha preso l'iniziativa iniziando a cantare i bhajan.
108 plates of Chhappan Bhog (in Hinduism, 56 different edible items, like, sweets, fruits, nuts, dishes etc. which are offered to deity) were served to Baba Shyam.	Sono stati serviti a Baba Shyam 108 piatti Chhappan Bhog (per la religione induista, 56 prodotti commestibili tra cui dolci, frutta, noci, pietanze, ecc. offerti alla divinità).
Lakkha Singh presented the chhappan bhog bhajan as well. Singer, Raju Khandelwal was accompanying him.	Lakkha Singh ha inoltre presentato il bhajan per il chhappan bhog. Lo ha accompagnato il cantante Raju Khandelwal.
At Thursday's keynote presentation of the Tokyo Game Show, Nintendo president Satoru Iwata unveiled the controller design for the company's new Nintendo Revolution console.	Al discorso di presentazione del Tokyo Game Show di giovedì, Satoru Iwata, presidente di Nintendo, ha rivelato il design del controller della nuova console Nintendo Revolution.
Resembling a television remote, the controller uses two sensors placed near the user's television to triangulate its position in three-dimensional space.	In modo analogo al telecomando della TV, attraverso due sensori situati accanto al televisore dell'utente il controller riesce a triangolare la sua posizione nello spazio tridimensionale.
This will allow players to control actions and movements in video games by moving the device through the air.	Questo consentirà ai giocatori di controllare le azioni e i movimenti all'interno del videogioco muovendo in aria il dispositivo.
Giancarlo Fisichella lost control of his car and ended the race very soon after the start.	Poco dopo la partenza, Giancarlo Fisichella ha perso il controllo della sua auto e ha terminato la sua gara.
His teammate Fernando Alonso was in the lead for most of the race, but ended it right after his pit-stop, probably because a badly tucked right front wheel.	Fernando Alonso, suo compagno di squadra, è stato in testa per gran parte della gara, ma la sua gara si è conclusa subito dopo il suo pit-stop, probabilmente per il montaggio non corretto della ruota anteriore destra.
Michael Schumacher ended his race not long after Alonso, because of the suspension damage in the numerous battles during the race.	Michael Schumacher ha raggiunto il traguardo alle spalle di Alonso, a causa di un danno alle sospensioni verificatosi in uno dei duelli di cui è stato protagonista nel corso della gara.
"She’s very cute and sings quite well, too," he said according to a transcript of the news conference.	In base a trascrizione della conferenza stampa, avrebbe detto: "è molto graziosa e canta anche piuttosto bene".
"I was moved every time we did a rehearsal on this, from the bottom of my heart."	Ogni volta che abbiamo fatto le prove, mi sono sentito commuovere dal profondo del cuore.
Around 3 minutes into the launch, an on-board camera showed numerous pieces of insulation foam break away from the fuel tank.	Dopo circa 3 minuti dal lancio, da una telecamera di bordo si sono visti vari frammenti di schiuma isolante che si staccavano dal serbatoio del carburante.
However, they are not thought to have caused any damage to the shuttle.	Non si ritiene tuttavia che abbiano causato danni allo shuttle.
NASA's shuttle program chief N. Wayne Hale Jr. said the foam had fallen "after the time we are concerned about."	N. Wayne Hale Jr., direttore del Programma Space Shuttle della NASA, ha affermato che la schiuma era caduta successivamente al momento che li preoccupava.
Five minutes into the display a wind starts rolling in, about a minute later, the wind is reaching 70km/h... then the rain comes, but so hard and so large that it slaps your skin like a needle, then hail fell from the sky, people panicking and screaming and running over each other.	Cinque minuti dopo l'inizio dello spettacolo, inizia il vento, circa un minuto dopo, il vento sta raggiungendo i 70 km/h... poi arriva la pioggia, così violenta e torrenziale da pungerti la pelle come un ago, poi inizia a cadere la grandine, persone in preda al panico, che urlano e scappano, travolgendosi.
I lost my sister and her friend, and on my way there were two disabled people in wheelchairs, people just jumping over and pushing them," Armand Versace said.	"Ho perso mia sorella e la sua amica, mentre mi spostavo avevo davanti a me due disabili in sedia a rotelle e le persone che gli saltavano addosso e le spingevano", ha detto Armand Versace.
NHK also reported that the Kashiwazaki Kariwa nuclear power plant in Niigata prefecture was operating normally.	NHK ha inoltre riferito che la centrale nucleare di Kashiwazaki Kariwa, che si trova nella provincia di Niigata, era regolarmente operativa.
Hokuriku Electric Power Co. reported no effects from the earthquake and that the Number 1 and 2 reactors at its Shika nuclear power plant were shut down.	La Hokuriku Electric Power Co. non ha riportato nessun danno dovuto al terremoto; ha inoltre riferito che i reattori n. 1 e 2 della centrale nucleare di Shika sono stati chiusi.
It is reported that some 9400 homes in the region are without water and approximately 100 without electricity.	Secondo quanto riportato, circa 9400 case della zona sono senza acqua e circa 100 senza corrente elettrica.
Some roads have been damaged, railway service interrupted in the affected areas, and the Noto Airport in Ishikawa prefecture remains closed.	Alcune strade risultano danneggiate, la rete ferroviaria è stata interrotta nelle zone coinvolte e l'aeroporto di Noto, nella provincia di Ishikawa, resta chiuso.
One bomb exploded outside the governor general's office.	All'esterno dell'ufficio del governatore generale è esplosa una bomba.
Three more bombs exploded near government buildings in a period of two hours.	Nel giro di due ore sono esplose altre tre bombe nelle vicinanze degli edifici governativi.
Some reports put the official death toll at eight, and official reports confirm that up to 30 were injured; but final numbers are not yet known.	Secondo alcuni resoconti, il numero ufficiale delle vittime è pari a otto e i report ufficiali confermano che ci sono stati fino a 30 feriti, anche se i numeri definitivi non sono ancora noti.
Both cyanuric acid and melamine were found in urine samples from pets that died after consuming contaminated pet food.	Nei campioni di urina domestici deceduti dopo aver mangiato cibo per animali contaminato, sono state trovate tracce sia di acido cianurico e che di melamina.
The two compounds react with one another to form crystals that may block kidney function, researchers at the university said.	I ricercatori dell'università hanno affermato che i due composti reagiscono tra loro formando dei cristalli che possono ostacolare la funzionalità renale.
The researchers observed crystals formed in cat urine by the addition of melamine and cyanuric acid.	I ricercatori hanno rilevato nell'urina dei gatti la formazione di cristalli, dovuti all'aggiunta di melamina e acido cianurico.
The composition of these crystals matches those found in the urine of affected pets when compared by infrared spectroscopy (FTIR).	Al confronto mediante spettroscopia infrarossa (FT-IR), la composizione di questi cristalli corrisponde a quella individuata nell'urina degli animali da compagnia che ne sono colpiti.
I don't know if you realize it or not, but most of the goods from Central America came into this country duty-free.	Non so se ve ne rendete conto oppure no, ma gran parte delle merci provenienti dal Centro America è entrata nel nostro Paese esente da dazi.
Yet eighty percent of our goods were taxed through tariffs in Central American countries. we treat you.	Ciononostante, l'80% delle nostre merci è stato tassato con dazi nei Paesi dell'America centrale.
That didn't seem to make sense to me; it certainly wasn't fair.	Tutto ciò non mi sembrava avesse senso; sicuramente non era giusto.
All I say to people is you treat us the way we treat you.	Tutto ciò che dico alla gente è trattateci come noi trattiamo voi.
California Governor Arnold Schwarzenegger signed into law a bill that bans the sale or rental of violent video games to minors.	Il Governatore della California, Arnold Schwarzenegger, ha convertito in legge il decreto secondo cui la vendita o il noleggio di videogiochi con contenuti violenti sono vietati ai minori.
The bill requires violent video games sold in the state of California to be labeled with a decal reading "18" and makes their sale to a minor punishable by a fine of $1000 per offense.	Il disegno di legge prevede che sui videogiochi violenti venduti nello Stato della California sia apposta un'etichetta con su scritto "18" e ne rende punibile la vendita ai minori con una multa da 1.000 dollari a violazione.
The Director of Public Prosecutions, Kier Starmer QC, gave a statement this morning announcing the prosecution of both Huhne and Pryce.	Questa mattina il responsabile della pubblica accusa, Kier Starmer QC, ha rilasciato una dichiarazione secondo cui verranno accusati sia Huhne che Pryce.
Huhne has resigned and he will be replaced in the Cabinet by Ed Davey MP. Norman Lamb MP is expected to take the Business Minister job Davey is vacating.	Huhne ha dato le dimissioni e sarà sostituito al governo da Ed Davey MP. Si prevede che Norman Lamb MP ricopra il ruolo di Ministro per le imprese lasciato vacante da Davey.
Huhne and Pryce are scheduled to appear at the Westminster Magistrates Court on February 16.	La comparsa di Huhne e Pryce presso il tribunale dei magistrati di Westminster è prevista per il 16 febbraio.
The fatalities were Nicholas Alden, 25, and Zachary Cuddeback, 21. Cuddeback had been the driver.	Le vittime sono state Nicholas Alden di 25 anni, e l'autista, Zachary Cuddeback di 21 anni.
Edgar Veguilla received arm and jaw wounds while Kristoffer Schneider was left requiring reconstructive surgery for his face.	Edgar Veguilla ha riportato ferite al braccio e alla mascella, mentre Kristoffer Schneider dovrà subire un intervento chirurgico di ricostruzione del volto.
Uka's weapon failed whilst pointed at a fifth man's head. Schneider has ongoing pain, blindness in one eye, a missing section of skull and a face rebuilt from titanium.	L'arma di Uka non è esplosa quando era puntata alla testa di un quinto uomo. Schneider ha dolore costante, è cieco da un occhio, gli manca una sezione di cranio e il suo volto è stato ricostruito in titanio.
Schneider testified via videolink from a USAF base in his homeland.	Schneider ha testimoniato tramite videoconferenza da una base USAF del suo Paese.
Beyond Wednesday's event, Carpanedo competed in two individual races at the Championships.	In aggiunta all'evento di mercoledì, la Carpanedo ha partecipato a due gare singole dei Campionati.
Her first was the Slalom, where she earned a Did Not Finish in her first run. 36 of the 116 competitors had the same result in that race.	La prima nello slalom, dove alla prima discesa ha fatto registrare un DNT. Altri 36 concorrenti su 116 nella stessa gara non hanno concluso la prova.
Her other race, the Giant Slalom, saw her finish in tenth in the women's sitting group with a combined run time of 4:41.30, 2:11.60 minutes slower than first place finisher Austrian Claudia Loesch and 1:09.02 minutes slower than the ninth place finisher Gyöngyi Dani of Hungary.	L'altra gara a cui ha partecipato, lo slalom gigante, l'ha vista classificarsi decima nel gruppo femminile della categoria "seduti", con un tempo di percorrenza combinato di 4:41.30, più lento di 2:11.60 minuti rispetto alla prima classificata, l'austriaca Claudia Loesch, e più lento di 1:09.02 minuti rispetto al nono posto dell'ungherese Gyöngyi Dani.
Four skiers in the women's sitting group failed to finish their runs, and 45 of the 117 total skiers in the Giant Slalom failed to rank in the race.	Quattro sciatrici del gruppo femminile non sono riuscite a terminare le loro discese, e 45 delle 117 partecipanti allo Slalom Gigante non si sono classificate nella gara.
The Madhya Pradesh Police recovered the stolen laptop and mobile phone.	La polizia del Madhya Pradesh è riuscita a recuperare il portatile e il cellulare che erano stati rubati.
Deputy Inspector General D K Arya said, "We have arrested five persons who raped the Swiss woman and recovered her mobile and laptop".	Il vice ispettore generale, DK Arya, ha annunciato: "Sono state arrestate cinque persone per lo stupro della donna svizzera. Abbiamo inoltre ritrovato il suo cellulare e il suo portatile".
The accused are named as Baba Kanjar, Bhutha Kanjar, Rampro Kanjar, Gaza Kanjar and Vishnu Kanjar.	I nomi degli imputati sono: Baba Kanjar, Bhutha Kanjar, Rampro Kanjar, Gaza Kanjar e Vishnu Kanjar.
Police superintendent Chandra Shekhar Solanki said the accused appeared in court with covered faces.	Secondo il sovrintendente della polizia Chandra Shekhar Solanki, gli imputati sono apparsi in tribunale con il volto coperto.
Although three people were inside the house when the car impacted it, none of them were hurt.	Nessuna delle tre persone che si trovavano in casa al momento dello schianto dell'auto è rimasta ferita.
However, the driver sustained serious injuries to the head.	Ciò nonostante, il conducente è rimasto gravemente ferito alla testa.
The road where the crash happened was temporarily closed while emergency services freed the driver from the red Audi TT.	La strada in cui è avvenuto l'incidente è stata chiusa temporaneamente, mentre i servizi di soccorso liberavano il conducente dalla Audi TT rossa.
He was initially hospitalised in the James Paget Hospital in Great Yarmouth.	È stato inizialmente ricoverato al James Paget Hospital di Great Yarmouth.
He was subsequently relocated to Addenbrooke's Hospital in Cambridge.	È stato poi trasferito all'Addenbrooke's Hospital di Cambridge.
Adekoya has since been in Edinburgh Sheriff Court charged with murdering her son.	Da quel momento, Adekoya è presso il tribunale dello sceriffo di Edimburgo con l'accusa di aver ucciso il suo stesso figlio.
She is in custody pending indictment and trial, but any eyewitness evidence may be tainted because her image has been widely published.	È detenuta in attesa di rinvio a giudizio e processo, ma qualsiasi testimonianza resa da un testimone oculare potrebbe essere inquinata, poiché la sua immagine è stata ampiamente pubblicata.
This is common practice elsewhere in the UK but Scottish justice works differently and courts have viewed publication of photos as potentially prejudicial.	Si tratta di una pratica comune in altre parti del Regno Unito, ma la giustizia scozzese ha altri parametri. I tribunali scozzesi hanno infatti ritenuto la pubblicazione delle foto potenzialmente pregiudizievole.
Professor Pamela Ferguson of the University of Dundee notes "journalists do seem to be walking a dangerous line if publishing photos etc of suspects."	Secondo la professoressa Pamela Ferguson dell'Università di Dundee "i giornalisti che pubblicano foto o altro di soggetti sospetti, camminano su un terreno minato".
Crown Office, which is in overall charge of prosecutions, has indicated to journalists that no further comment will be made at least until indictment.	Il Crown Office, che ha la responsabilità generale dei procedimenti giudiziari, ha precisato ai giornalisti che non verranno rilasciati nuovi commenti almeno fino all'atto formale di accusa.
The document, according to the leak, will refer to the borders dispute, which Palestine wants based on the borders before the 1967 Mideast War.	Secondo quanto trapelato, oggetto del documento sarà la disputa sui confini, che la Palestina vuole siano basati sui confini esistenti prima della Guerra del Medio Oriente del 1967.
Other topics covered reportedly include the future state of Jerusalem which is sacred to both nations and the Jordan Valley issue.	Stando a quel che si dice, gli altri temi affrontati includono lo status futuro di Gerusalemme, che è sacra per entrambe le nazioni, e la questione della Valle del Giordano.
Israel demands an ongoing military presence in the valley for ten years once an agreement is signed while the PA agrees to leave such presence only for five years.	Una volta firmato l'accordo, Israele esige una presenza militare costante nella valle, mentre l'Autorità palestinese accetta di abbandonare tale presenza solo per cinque anni.
Shooters in the supplementary pest control trial were to be closely supervised by rangers, as the trial was monitored and its effectiveness evaluated.	I tiratori all'interno del programma sperimentale per il controllo degli animali nocivi dovevano essere attentamente sorvegliati dai ranger, dal momento che l'esperimento era monitorato e la sua efficacia valutata.
In a partnership of NPWS and the Sporting Shooters Association of Australia (NSW) Inc, qualified volunteers were recruited, under the Sporting Shooters Association's hunting program.	Nel quadro del programma di caccia dell'associazione Sporting Shooters Association, la NPWS in collaborazione con l'associazione Sporting Shooters Association of Australia (NSW) Inc., ha reclutato volontari qualificati.
According to Mick O'Flynn, the Acting Director Park Conservation and Heritage with the NPWS, the four shooters selected for the first shooting operation received comprehensive safety and training instruction.	Secondo Mick O'Flynn, direttore facente funzione del Park Conservation and Heritage del NPWS, i quattro tiratori scelti per la prima operazione di tiro hanno ricevuto formazione e istruzioni di sicurezza esaustive.
Martelly swore in a new Provisional Electoral Council (CEP) of nine members yesterday.	Ieri Martelly ha giurato in un nuovo Consiglio Elettorale Provvisorio (CEP) composto da nove membri.
It is Martelly's fifth CEP in four years.	Si tratta del quinto Consiglio elettorale provvisorio di Martelly in quattro anni.
Last month a presidential commission recommended the prior CEP's resignation as part of a package of measures to move the country towards new elections.	Lo scorso mese una commissione presidenziale ha proposto un pacchetto di misure volte a spingere il Paese verso nuove elezioni, comprensivo delle dimissioni del precedente CEP.
The commission was Martelly's response to widespread anti-regime protests that started in October.	La commissione ha costituito la risposta di Martelly alle diffuse proteste, iniziate a ottobre, che contestano il regime.
The sometimes-violent protests were triggered by failure to hold elections, some due since 2011.	Le proteste occasionalmente violente sono state scatenate dal mancato svolgimento delle elezioni, alcune delle quali previste sin dal 2011.
Around 60 cases of malfunctioning iPods overheating have been reported, causing a total of six fires and leaving four people with minor burns.	Sono stati segnalati circa 60 casi di surriscaldamento di iPod malfunzionanti, che hanno causato un totale di sei incendi e causato ustioni di lieve entità a quattro persone.
Japan's Ministry of Economy, Trade and Industry (METI) said that it had been aware of 27 accidents related to the devices.	Il Ministero dell'Economia, del Commercio e dell'Industria (METI) giapponese ha affermato di essere a conoscenza di 27 incidenti legati ai dispositivi.
Last week, METI announced that Apple had informed it of 34 additional overheating incidents, which the company called "non-serious."	La settimana scorsa, il Ministero dell'Economia, del Commercio e dell'Industria (METI) ha annunciato di essere stato informato da Apple di altri 34 incidenti legati al surriscaldamento, che l'azienda ha definito "non gravi".
The ministry responded by calling Apple's postponement of the report "truly regrettable."	Nella sua risposta, il ministero ha definito "assolutamente deprecabile" il rinvio del rapporto da parte di Apple.
The eathquake struck Mariana at 07:19 a.m. local time (09:19 p.m. GMT Friday).	La scossa di terremoto alle Marianne è stata avvertita alle 07:19 ora locale (21:19 GMT di venerdì).
The Northern Marianas emergency management office said that there were no damages reported in the nation.	Secondo l'ufficio gestione delle emergenze delle isole Marianne Settentrionali non sono stati riportati danni nella nazione.
Also the Pacific Tsunami Warning Center said that there was no Tsunami indication.	E inoltre il Pacific Tsunami Warning Center ha riferito che non c'erano segnali di tsunami in atto.
A former Filipino policeman has kept Hong Kong tourists hostage by hijacking their bus in Manila, the capital of the Philippines.	A Manila, capitale delle Filippine, un ex poliziotto filippino ha preso in ostaggio dei turisti di Hong Kong dopo aver dirottato il loro autobus.
Rolando Mendoza fired his M16 rifle at the tourists.	Con il suo fucile M16 Rolando Mendoza ha fatto fuoco sui turisti.
Several hostages have been rescued and least six have been confirmed dead so far.	Molti degli ostaggi sono stati salvati, almeno sei sono deceduti.
Six hostages, including the children and elderly, were released early, as were the Filipino photographers.	Sei ostaggi, tra cui bambini e anziani, sono stati liberati subito insieme ai fotografi filippini.
The photographers later took the place of an aged lady as she needed the lavatory. Mendoza was gunned down.	I fotografi si sono poi sostituiti a un'anziana signora che aveva bisogno di usare il bagno. Mendoza è stato colpito a morte.
Liggins followed in his father’s footsteps and entered a career in medicine.	Liggins ha ripercorso le orme del padre e ha intrapreso la carriera di medico.
He trained as an obstetrician and began to work at the Auckland's National Women's Hospital in 1959.	Dopo aver seguito la formazione in ostetricia, nel 1959 entrò a lavorare al National Women's Hospital di Auckland.
While he was working at the hospital Liggins began to investigate premature labor during his spare time.	Mentre prestava servizio all'ospedale, nel tempo libero Liggins iniziò a studiare i casi di travaglio prematuro.
His research showed that if a hormone was administered it would speed up the baby's foetal lung maturation.	La sua ricerca ha mostrato che la somministrazione di un ormone avrebbe accelerato la maturazione dei polmoni nel feto.
Xinhua reported that government investigators recovered two 'black box' flight recorders on Wednesday.	Xinhua ha riferito che gli inquirenti del governo mercoledì hanno recuperato due 'scatole nere' con le registrazioni di volo.
Fellow wrestlers also paid tribute to Luna.	Anche i suoi compagni di wrestling hanno voluto rendere omaggio a Luna.
Tommy Dreamer said "Luna was the first Queen of Extreme. My first manager. Luna passed away on the night of two moons. Pretty unique just like her. Strong woman."	Tommy Dreamer ha dichiarato: "Luna è stata la prima Regina dell'Estremo. Il mio primo manager. È morta nella notte delle due lune. Unico, esattamente come lei. Una donna forte."
Dustin "Goldust" Runnels commented that "Luna was as freaky as me...maybe even more...love her and will miss her...hopefully she's in a better place."	"Luna era stramba come me… Forse anche di più… Le voglio bene e mi mancherà… Speriamo che sia in un posto migliore", è stato il commento di Dustin "Goldust" Runnels.
Out of 1,400 people polled prior to the 2010 federal election, those who oppose Australia becoming a republic grew by 8 per cent since 2008.	Secondo il sondaggio condotto su 1.400 persone prima delle elezioni federali del 2010, le persone contrarie al passaggio dell'Australia a repubblica sono aumentate dell'8% rispetto al 2008.
Caretaker Prime Minister Julia Gillard claimed during the campaign of the 2010 federal election that she believed Australia should become a republic at the end of Queen Elizabeth II's reign.	Nel corso della campagna per le elezioni federali del 2010, il primo ministro ad interim, Julia Gillard, ha affermato di ritenere che l'Australia debba diventare una repubblica alla fine del regno di Elisabetta II.
34 per cent of those in the poll share this view, wanting Queen Elizabeth II to be Australia's last monarch.	Questa opinione è condivisa dal 34% dei partecipanti al sondaggio, secondo cui la regina Elisabetta II dovrebbe essere l'ultimo monarca dell'Australia.
At the extremes of the poll, 29 per cent of those surveyed believe Australia should become a republic as soon as possible, while 31 per cent believe Australia should never become a republic.	Agli opposti del sondaggio, il 29% degli intervistati sostiene che l'Australia debba diventare al più presto una repubblica, mentre il 31% è del parere che non debba mai diventarlo.
The Olympic gold medalist was due to swim in the 100m and 200m freestyle and in three relays at the Commonwealth Games, but due to his complaints his fitness has been in doubt.	La medaglia d'oro olimpica avrebbe dovuto gareggiare nei 100 e 200 metri stile libero e in tre staffette ai Giochi del Commonwealth, ma ha accusato diversi disturbi che hanno indotto a dubitare della sua forma fisica.
He has been unable to take the drugs needed to overcome his pain as they are banned from the Games.	Non ha potuto assumere i farmaci necessari per superare il dolore perché sono banditi dai Giochi.
Curtis Cooper, a mathematician and computer science professor at the University of Central Missouri, has discovered the largest known prime number to date on January 25.	Il 25 gennaio Curtis Cooper, matematico e professore di informatica all'Università del Missouri centrale, ha scoperto il numero primo più grande mai conosciuto fino al giorno d'oggi.
Several people verified the discovery using different hardware and software by the beginning of February and it was announced on Tuesday.	La scoperta è stata verificata da diverse persone attraverso l'uso di vari hardware e software all'inizio di febbraio, ed è stata annunciata martedì.
Comets may possibly have been a source of water delivery to the earth along with organic matter that can form proteins and support life.	Le comete potrebbero essere state una delle fonti che hanno condotto sulla terra l'acqua e la materia organica, ossia la materia in grado di formare proteine e supportare la vita.
Scientists hope to understand how planets form, especially how the Earth formed, since comets collided with the Earth long ago.	Gli scienziati auspicano di comprendere in che modo si formano i pianeti e in particolare come si è formata la Terra, essendosi scontrata con delle comete molto tempo fa.
Cuomo, 53, began his governorship earlier this year and signed a bill last month legalizing same-sex marriage.	Cuomo, 53 anni, è in carica dall'inizio di quest'anno come governatore; il mese scorso ha posto la propria firma su una legge che rende legale il matrimonio tra persone dello stesso sesso.
He referred to the rumors as "political chatter and silliness".	Secondo lui le speculazioni non sono altro che "chiacchiere e idiozie politiche".
He is speculated to make a run for president in 2016.	Si ipotizza una candidatura alla presidenza nel 2016.
NextGen is a system the FAA claims would allow aircraft to fly shorter routes and save millions of gallons of fuel each year and cut carbon emissions.	Secondo la FAA, il sistema NextGen permetterebbe agli aerei di coprire rotte più brevi e di risparmiare milioni di galloni di carburante all'anno, riducendo così le emissioni di anidride carbonica.
It uses satellite-based technology as opposed to older ground-radar-based technology to allow air traffic controllers to pinpoint aircraft with greater precision and give pilots more accurate information.	Il sistema impiega la tecnologia satellitare anziché quella obsoleta basata sui radar da terra, per permettere ai controllori del traffico aereo di localizzare i velivoli con maggiore precisione e fornire ai piloti informazioni più accurate.
No extra transport is being put on and overground trains will not stop at Wembley, and car parking and park-and-ride facilities are unavailable at the ground.	Non si stanno allestendo trasporti supplementari e i treni di superficie non fermeranno a Wembley, mentre sul posto non sono disponibili parcheggi per auto o parcheggi di interscambio.
Fears of lack of transportation raised the possibility that the game would be forced to play behind closed doors without the team's supporters.	I timori legati all'assenza dei mezzi di trasporto hanno fatto emergere la possibilità di far disputare la partita obbligatoriamente a porte chiuse, senza il supporto dei tifosi della squadra.
A study published on Thursday in the journal Science reported on formation of a new bird species on the Ecuadorean Galápagos Islands.	Secondo uno studio pubblicato giovedì sulla rivista Science, sulle isole Galapagos in Ecuador sarebbe nata una nuova specie di uccelli.
